date_time,total_http_start,total_http_end,StoriesOfTheDay_http_start,StoriesOfTheDay_http_end,BrowseCategories_http_start,BrowseCategories_http_end,BrowseStoriesByCategory_http_start,BrowseStoriesByCategory_http_end,OlderStories_http_start,OlderStories_http_end,ViewStory_http_start,ViewStory_http_end,SubmitStory_http_start,SubmitStory_http_end,StoreStory_http_start,StoreStory_http_end,ViewComment_http_start,ViewComment_http_end,PostComment_http_start,PostComment_http_end,StoreComment_http_start,StoreComment_http_end,ModerateComment_http_start,ModerateComment_http_end,StoreModeratorLog_http_start,StoreModeratorLog_http_end,ReviewStories_http_start,ReviewStories_http_end,AcceptStory_http_start,AcceptStory_http_end,RejectStory_http_start,RejectStory_http_end,Search_http_start,Search_http_end,RegisterUser_http_start,RegisterUser_http_end,Author_http_start,Author_http_end,jpg_http_start,jpg_http_end,html_http_start,html_http_end
1523129704.000000,93,77,16,18,2,2,3,2,2,2,38,27,2,2,6,3,10,6,0,0,3,3,0,0,0,0,0,0,0,1,2,1,4,3,5,7,0,0,0,0,0,0
1523129704.050000,82,99,6,6,1,1,0,1,2,2,41,52,1,1,2,3,17,20,0,0,4,4,0,0,0,1,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0
1523129704.100000,113,116,15,12,2,2,0,0,6,6,45,47,2,2,2,5,17,17,0,0,16,16,0,0,0,0,0,0,2,1,0,0,3,3,3,5,0,0,0,0,0,0
1523129704.150000,118,114,17,17,1,0,5,5,10,9,48,48,1,1,8,4,7,7,0,0,19,19,0,0,0,0,1,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0
1523129704.200000,102,107,18,19,0,1,3,3,2,3,32,32,2,2,4,5,14,14,0,0,14,15,0,0,3,3,1,1,2,1,0,1,6,5,1,2,0,0,0,0,0,0
1523129704.250000,133,134,14,16,1,1,6,6,2,2,45,45,1,1,6,4,17,18,0,0,20,19,2,2,5,4,0,0,0,1,0,0,11,12,3,3,0,0,0,0,0,0
1523129704.300000,120,121,18,18,0,0,2,2,2,2,51,50,1,1,8,7,10,10,0,0,10,10,0,0,6,5,0,0,0,1,0,1,9,9,2,4,1,1,0,0,0,0
1523129704.350000,110,111,7,7,2,2,6,6,0,0,54,54,2,2,0,2,17,17,0,0,3,3,0,0,6,6,0,0,0,0,4,2,8,8,1,2,0,0,0,0,0,0
1523129704.400000,100,105,12,12,0,0,1,1,2,2,40,41,0,0,4,5,8,7,0,0,16,16,0,0,3,4,1,1,1,1,0,0,8,8,4,7,0,0,0,0,0,0
1523129704.450000,137,131,19,16,5,5,3,3,4,4,58,54,2,1,8,8,19,19,0,0,8,8,2,2,0,0,0,0,0,0,0,1,6,6,3,4,0,0,0,0,0,0
1523129704.500000,95,97,14,15,1,1,3,3,10,8,27,30,3,4,0,1,20,20,0,0,8,8,0,0,0,0,2,2,0,0,0,0,7,5,0,0,0,0,0,0,0,0
1523129704.550000,107,117,13,15,1,1,1,1,8,10,27,29,5,5,0,2,14,15,0,0,25,25,0,0,0,0,1,1,1,1,0,0,8,10,2,1,1,1,0,0,0,0
1523129704.600000,103,105,14,14,0,0,2,2,6,6,32,31,4,4,2,5,8,7,0,0,23,23,0,0,0,1,1,1,1,1,0,0,10,10,0,0,0,0,0,0,0,0
1523129704.650000,114,116,12,11,0,0,3,3,4,4,38,38,5,5,4,5,19,20,0,0,10,10,0,0,0,1,2,2,0,0,0,0,14,14,3,3,0,0,0,0,0,0
