date_time,total_http_start,total_http_end,SELECT_http_start,SELECT_http_end,INSERT_http_start,INSERT_http_end,UPDATE_http_start,UPDATE_http_end,DELETE_http_start,DELETE_http_end
1524020642.000000,23,23,23,23,0,0,0,0,0,0
1524020642.050000,62,60,62,60,0,0,0,0,0,0
1524020642.100000,42,44,42,44,0,0,0,0,0,0
1524020642.150000,30,29,30,29,0,0,0,0,0,0
1524020642.200000,24,25,24,25,0,0,0,0,0,0
1524020642.250000,35,33,35,33,0,0,0,0,0,0
1524020642.300000,14,16,14,16,0,0,0,0,0,0
1524020642.350000,29,29,29,29,0,0,0,0,0,0
1524020642.400000,26,24,26,24,0,0,0,0,0,0
1524020642.450000,39,39,39,39,0,0,0,0,0,0
1524020642.500000,27,29,27,29,0,0,0,0,0,0
1524020642.550000,24,23,24,23,0,0,0,0,0,0
1524020642.600000,43,44,43,44,0,0,0,0,0,0
1524020642.650000,20,19,20,19,0,0,0,0,0,0
1524020642.700000,30,31,30,31,0,0,0,0,0,0
1524020642.750000,18,18,18,18,0,0,0,0,0,0
1524020642.800000,40,40,40,40,0,0,0,0,0,0
1524020642.850000,49,49,49,49,0,0,0,0,0,0
1524020642.900000,31,29,31,29,0,0,0,0,0,0
1524020642.950000,29,31,29,31,0,0,0,0,0,0
1524020643.000000,22,21,22,21,0,0,0,0,0,0
1524020643.050000,36,36,36,36,0,0,0,0,0,0
1524020643.100000,32,32,32,32,0,0,0,0,0,0
1524020643.150000,55,54,55,54,0,0,0,0,0,0
1524020643.200000,30,32,30,32,0,0,0,0,0,0
1524020643.250000,20,20,20,20,0,0,0,0,0,0
1524020643.300000,26,26,26,26,0,0,0,0,0,0
1524020643.350000,29,29,29,29,0,0,0,0,0,0
1524020643.400000,23,23,23,23,0,0,0,0,0,0
1524020643.450000,22,21,22,21,0,0,0,0,0,0
1524020643.500000,37,35,37,35,0,0,0,0,0,0
1524020643.550000,52,55,52,55,0,0,0,0,0,0
1524020643.600000,23,23,23,23,0,0,0,0,0,0
1524020643.650000,36,36,36,36,0,0,0,0,0,0
1524020643.700000,18,18,18,18,0,0,0,0,0,0
1524020643.750000,37,35,37,35,0,0,0,0,0,0
1524020643.800000,50,49,50,49,0,0,0,0,0,0
1524020643.850000,42,44,42,44,0,0,0,0,0,0
1524020643.900000,19,15,19,15,0,0,0,0,0,0
1524020643.950000,52,56,52,56,0,0,0,0,0,0
1524020644.000000,28,27,28,27,0,0,0,0,0,0
1524020644.050000,48,49,48,49,0,0,0,0,0,0
1524020644.100000,41,42,41,42,0,0,0,0,0,0
1524020644.150000,12,12,12,12,0,0,0,0,0,0
1524020644.200000,24,23,24,23,0,0,0,0,0,0
1524020644.250000,60,61,60,61,0,0,0,0,0,0
1524020644.300000,40,40,40,40,0,0,0,0,0,0
1524020644.350000,37,35,37,35,0,0,0,0,0,0
1524020644.400000,40,42,40,42,0,0,0,0,0,0
1524020644.450000,15,14,15,14,0,0,0,0,0,0
1524020644.500000,40,41,40,41,0,0,0,0,0,0
1524020644.550000,42,42,42,42,0,0,0,0,0,0
1524020644.600000,12,12,12,12,0,0,0,0,0,0
1524020644.650000,46,40,46,40,0,0,0,0,0,0
1524020644.700000,45,51,45,51,0,0,0,0,0,0
1524020644.750000,52,51,52,51,0,0,0,0,0,0
1524020644.800000,34,31,34,31,0,0,0,0,0,0
1524020644.850000,32,33,32,33,0,0,0,0,0,0
1524020644.900000,36,39,36,39,0,0,0,0,0,0
1524020644.950000,40,40,40,40,0,0,0,0,0,0
1524020645.000000,22,22,22,22,0,0,0,0,0,0
1524020645.050000,23,22,23,22,0,0,0,0,0,0
1524020645.100000,39,39,39,39,0,0,0,0,0,0
1524020645.150000,60,61,60,61,0,0,0,0,0,0
1524020645.200000,44,42,44,42,0,0,0,0,0,0
1524020645.250000,32,34,32,34,0,0,0,0,0,0
1524020645.300000,32,31,32,31,0,0,0,0,0,0
1524020645.350000,37,38,37,38,0,0,0,0,0,0
1524020645.400000,39,39,39,39,0,0,0,0,0,0
1524020645.450000,53,50,53,50,0,0,0,0,0,0
1524020645.500000,15,17,15,17,0,0,0,0,0,0
1524020645.550000,37,38,37,38,0,0,0,0,0,0
1524020645.600000,45,45,45,45,0,0,0,0,0,0
1524020645.650000,30,29,30,29,0,0,0,0,0,0
1524020645.700000,31,32,31,32,0,0,0,0,0,0
1524020645.750000,27,27,27,27,0,0,0,0,0,0
1524020645.800000,48,41,48,41,0,0,0,0,0,0
1524020645.850000,65,67,65,67,0,0,0,0,0,0
1524020645.900000,34,38,34,38,0,0,0,0,0,0
1524020645.950000,34,32,34,32,0,0,0,0,0,0
1524020646.000000,43,45,43,45,0,0,0,0,0,0
1524020646.050000,30,29,30,29,0,0,0,0,0,0
1524020646.100000,48,46,48,46,0,0,0,0,0,0
1524020646.150000,40,42,40,42,0,0,0,0,0,0
1524020646.200000,67,65,67,65,0,0,0,0,0,0
1524020646.250000,48,52,48,52,0,0,0,0,0,0
1524020646.300000,50,49,50,49,0,0,0,0,0,0
1524020646.350000,20,20,20,20,0,0,0,0,0,0
1524020646.400000,29,30,29,30,0,0,0,0,0,0
1524020646.450000,49,45,49,45,0,0,0,0,0,0
1524020646.500000,49,51,49,51,0,0,0,0,0,0
1524020646.550000,29,31,29,31,0,0,0,0,0,0
1524020646.600000,18,17,18,17,0,0,0,0,0,0
1524020646.650000,19,20,19,20,0,0,0,0,0,0
1524020646.700000,34,32,34,32,0,0,0,0,0,0
1524020646.750000,32,30,32,30,0,0,0,0,0,0
1524020646.800000,48,51,48,51,0,0,0,0,0,0
1524020646.850000,27,28,27,28,0,0,0,0,0,0
1524020646.900000,27,27,27,27,0,0,0,0,0,0
1524020646.950000,33,33,33,33,0,0,0,0,0,0
1524020647.000000,26,26,26,26,0,0,0,0,0,0
1524020647.050000,29,27,29,27,0,0,0,0,0,0
1524020647.100000,43,45,43,45,0,0,0,0,0,0
1524020647.150000,50,45,50,45,0,0,0,0,0,0
1524020647.200000,34,39,34,39,0,0,0,0,0,0
1524020647.250000,29,29,29,29,0,0,0,0,0,0
1524020647.300000,16,16,16,16,0,0,0,0,0,0
1524020647.350000,41,40,41,40,0,0,0,0,0,0
1524020647.400000,44,43,44,43,0,0,0,0,0,0
1524020647.450000,31,33,31,33,0,0,0,0,0,0
1524020647.500000,10,10,10,10,0,0,0,0,0,0
1524020647.550000,32,32,32,32,0,0,0,0,0,0
1524020647.600000,29,28,29,28,0,0,0,0,0,0
1524020647.650000,47,48,47,48,0,0,0,0,0,0
1524020647.700000,33,33,33,33,0,0,0,0,0,0
1524020647.750000,49,47,49,47,0,0,0,0,0,0
1524020647.800000,34,33,34,33,0,0,0,0,0,0
1524020647.850000,53,55,53,55,0,0,0,0,0,0
1524020647.900000,21,21,21,21,0,0,0,0,0,0
1524020647.950000,37,38,37,38,0,0,0,0,0,0
1524020648.000000,63,58,63,58,0,0,0,0,0,0
1524020648.050000,35,39,35,39,0,0,0,0,0,0
1524020648.100000,9,9,9,9,0,0,0,0,0,0
1524020648.150000,48,46,48,46,0,0,0,0,0,0
1524020648.200000,44,47,44,47,0,0,0,0,0,0
1524020648.250000,37,36,37,36,0,0,0,0,0,0
1524020648.300000,27,28,27,28,0,0,0,0,0,0
1524020648.350000,41,38,41,38,0,0,0,0,0,0
1524020648.400000,48,49,48,49,0,0,0,0,0,0
1524020648.450000,26,28,26,28,0,0,0,0,0,0
1524020648.500000,33,33,33,33,0,0,0,0,0,0
1524020648.550000,22,21,22,21,0,0,0,0,0,0
1524020648.600000,35,36,35,36,0,0,0,0,0,0
1524020648.650000,22,22,22,22,0,0,0,0,0,0
1524020648.700000,41,39,41,39,0,0,0,0,0,0
1524020648.750000,23,23,23,23,0,0,0,0,0,0
1524020648.800000,38,38,38,38,0,0,0,0,0,0
1524020648.850000,29,30,29,30,0,0,0,0,0,0
1524020648.900000,25,25,25,25,0,0,0,0,0,0
1524020648.950000,28,29,28,29,0,0,0,0,0,0
1524020649.000000,22,22,22,22,0,0,0,0,0,0
1524020649.050000,18,17,18,17,0,0,0,0,0,0
1524020649.100000,10,11,10,11,0,0,0,0,0,0
1524020649.150000,32,32,32,32,0,0,0,0,0,0
1524020649.200000,41,36,41,36,0,0,0,0,0,0
1524020649.250000,39,43,39,43,0,0,0,0,0,0
