date_time,total_http_start,total_http_end,StoriesOfTheDay_http_start,StoriesOfTheDay_http_end,Browse_http_start,Browse_http_end,BrowseCategories_http_start,BrowseCategories_http_end,BrowseStoriesByCategory_http_start,BrowseStoriesByCategory_http_end,BrowseStoriesInCategory_http_start,BrowseStoriesInCategory_http_end,OlderStories_http_start,OlderStories_http_end,ViewStory_http_start,ViewStory_http_end,ViewComment_http_start,ViewComment_http_end,Search_http_start,Search_http_end,SearchInStories_http_start,SearchInStories_http_end,SearchInComments_http_start,SearchInComments_http_end,SearchInUsers_http_start,SearchInUsers_http_end,jpg_http_start,jpg_http_end,html_http_start,html_http_end
1523130470.000000,47,46,3,1,0,0,0,0,0,1,0,0,0,1,21,21,22,22,1,0,0,0,0,0,0,0,0,0,0,0
1523130470.050000,80,80,8,6,0,0,0,0,1,1,0,0,1,0,43,43,24,27,3,3,0,0,0,0,0,0,0,0,0,0
1523130470.100000,73,85,5,10,0,0,0,0,0,0,0,0,2,4,44,44,21,25,1,2,0,0,0,0,0,0,0,0,0,0
1523130470.150000,96,106,7,10,0,0,0,0,0,0,0,0,5,5,55,56,25,32,4,3,0,0,0,0,0,0,0,0,0,0
1523130470.200000,82,80,5,4,0,0,0,0,1,0,0,0,2,1,50,49,20,22,4,4,0,0,0,0,0,0,0,0,0,0
1523130470.250000,79,84,4,6,0,0,1,0,0,1,0,0,1,1,50,50,20,23,3,3,0,0,0,0,0,0,0,0,0,0
1523130470.300000,73,61,10,1,0,0,0,0,1,0,0,0,1,2,39,40,21,16,1,2,0,0,0,0,0,0,0,0,0,0
1523130470.350000,87,66,12,8,0,0,2,1,2,0,0,0,3,0,44,43,21,10,3,4,0,0,0,0,0,0,0,0,0,0
1523130470.400000,99,99,8,10,0,0,0,0,0,2,0,0,0,0,42,43,43,39,6,5,0,0,0,0,0,0,0,0,0,0
1523130470.450000,79,77,5,9,0,0,1,2,0,0,0,0,3,2,39,38,28,25,3,1,0,0,0,0,0,0,0,0,0,0
