date_time,total_http,StoriesOfTheDay_http,Browse_http,BrowseCategories_http,BrowseStoriesByCategory_http,BrowseStoriesInCategory_http,OlderStories_http,ViewStory_http,ViewComment_http,Search_http,SearchInStories_http,SearchInComments_http,SearchInUsers_http,jpg_http,html_http,http_total_longReq,http_adjustLoad
1523130470.000000,130.560003,10.259998,0.000000,0.000000,0.700001,0.000000,2.580002,71.920004,40.619999,4.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,130.560003
1523130470.050000,130.500007,10.880013,0.000000,0.000000,0.139999,0.000000,2.260002,71.840004,40.219992,5.159996,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,130.500007
1523130470.100000,126.820015,11.760005,0.000000,0.000000,0.000000,0.000000,2.479997,71.720012,36.440000,4.420002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,126.820015
1523130470.150000,115.499997,7.820015,0.000000,0.000000,0.000000,0.000000,2.159998,71.319984,31.160000,3.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.499997
1523130470.200000,111.000010,5.240009,0.000000,0.000000,0.660000,0.000000,1.820000,71.759995,26.260003,5.260002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,111.000010
1523130470.250000,109.059984,6.039998,0.000000,0.220001,0.040001,0.000000,2.000000,71.819991,24.299994,4.639999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,109.059984
1523130470.300000,108.899992,6.000000,0.000000,1.000000,0.299999,0.000000,1.880001,71.799993,23.479997,4.440002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,108.899992
1523130470.350000,130.199984,16.539988,0.000000,1.840000,1.440002,0.000000,2.600002,71.740003,32.319999,3.719990,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,130.199984
1523130470.400000,138.140036,16.240006,0.000000,2.000000,1.679996,0.000000,4.000000,71.580030,39.180003,3.459999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,138.140036
1523130470.450000,140.720016,11.640007,0.000000,1.259998,1.000000,0.000000,4.419998,71.760011,45.380003,5.259998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,140.720016
1523130470.500000,145.619983,15.560003,0.000000,2.139999,0.600002,0.000000,4.739998,71.839998,46.379985,4.359997,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,145.619983
1523130470.550000,141.740009,11.480000,0.000000,3.000000,2.679996,0.000000,3.420002,71.780014,46.379997,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,141.740009
