date_time,total_http_start,total_http_end,StoriesOfTheDay_http_start,StoriesOfTheDay_http_end,BrowseCategories_http_start,BrowseCategories_http_end,BrowseStoriesByCategory_http_start,BrowseStoriesByCategory_http_end,OlderStories_http_start,OlderStories_http_end,ViewStory_http_start,ViewStory_http_end,SubmitStory_http_start,SubmitStory_http_end,StoreStory_http_start,StoreStory_http_end,ViewComment_http_start,ViewComment_http_end,PostComment_http_start,PostComment_http_end,StoreComment_http_start,StoreComment_http_end,ModerateComment_http_start,ModerateComment_http_end,StoreModeratorLog_http_start,StoreModeratorLog_http_end,ReviewStories_http_start,ReviewStories_http_end,AcceptStory_http_start,AcceptStory_http_end,RejectStory_http_start,RejectStory_http_end,Search_http_start,Search_http_end,RegisterUser_http_start,RegisterUser_http_end,Author_http_start,Author_http_end,jpg_http_start,jpg_http_end,html_http_start,html_http_end
1523131353.000000,33,28,3,5,0,0,2,1,1,1,5,3,2,1,1,2,3,3,4,1,2,3,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,1,0,0,0,3
1523131353.050000,27,24,4,8,1,2,0,0,2,0,10,3,0,0,1,0,1,2,2,0,1,3,0,0,0,0,0,0,0,1,0,0,1,3,1,1,1,1,0,0,2,0
1523131353.100000,27,34,6,8,0,0,1,1,1,0,4,7,3,3,2,0,1,2,3,2,0,4,0,1,1,0,0,0,0,0,0,0,3,4,0,0,1,0,0,0,1,2
1523131353.150000,27,34,3,5,0,0,2,1,2,3,5,9,2,3,2,3,3,1,0,1,1,4,1,0,0,0,0,0,0,0,1,0,3,2,0,0,0,1,0,0,2,1
1523131353.200000,23,27,4,6,1,0,3,0,1,0,6,3,0,1,0,0,1,4,2,2,2,1,0,0,0,0,0,0,0,2,0,0,2,8,1,0,0,0,0,0,0,0
1523131353.250000,24,33,2,8,0,1,0,2,2,0,3,8,2,0,1,1,4,4,2,0,2,0,0,1,0,0,0,0,0,2,0,0,5,2,0,0,0,0,0,0,1,4
1523131353.300000,22,25,3,7,0,0,1,1,1,0,6,4,0,0,0,0,0,2,3,1,3,2,0,0,0,0,0,1,0,0,0,0,4,5,0,0,0,0,0,0,1,2
1523131353.350000,23,14,2,2,0,0,2,0,2,1,2,3,0,1,1,0,1,1,4,1,3,2,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,3,1
1523131353.400000,23,33,11,8,0,0,1,0,1,2,2,8,2,1,0,0,2,3,1,2,0,3,0,0,0,0,0,1,0,0,0,0,1,4,2,0,0,0,0,0,0,1
1523131353.450000,24,19,2,5,1,0,0,2,0,1,10,3,0,0,1,2,0,0,1,4,2,0,0,0,0,0,1,0,0,0,0,0,4,1,1,0,0,0,0,0,1,1
1523131353.500000,21,34,5,7,0,0,1,3,1,0,4,7,3,2,2,3,0,1,1,2,0,3,0,0,0,0,1,0,0,1,0,0,2,3,0,0,0,1,0,0,1,1
1523131353.550000,16,23,5,4,0,0,0,1,0,1,2,7,0,0,0,1,3,2,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,3,1,1,0,0,0,0,2,1
1523131353.600000,20,26,2,3,0,2,0,1,1,2,7,8,0,0,1,1,1,2,2,3,2,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,2
1523131353.650000,18,30,3,6,0,0,0,1,0,0,4,5,3,0,1,1,1,4,3,2,0,4,0,1,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,2,0
1523131353.700000,20,27,6,3,1,0,1,3,0,1,2,9,0,0,2,0,2,1,3,2,0,1,0,0,0,2,2,1,0,0,0,0,1,2,0,1,0,0,0,0,0,1
