date_time,total_http_start,total_http_end,StoriesOfTheDay_http_start,StoriesOfTheDay_http_end,Browse_http_start,Browse_http_end,BrowseCategories_http_start,BrowseCategories_http_end,BrowseStoriesByCategory_http_start,BrowseStoriesByCategory_http_end,BrowseStoriesInCategory_http_start,BrowseStoriesInCategory_http_end,OlderStories_http_start,OlderStories_http_end,ViewStory_http_start,ViewStory_http_end,ViewComment_http_start,ViewComment_http_end,Search_http_start,Search_http_end,SearchInStories_http_start,SearchInStories_http_end,SearchInComments_http_start,SearchInComments_http_end,SearchInUsers_http_start,SearchInUsers_http_end,jpg_http_start,jpg_http_end,html_http_start,html_http_end
1523132153.000000,13,14,5,1,0,0,0,0,0,0,0,0,2,1,1,10,4,1,1,1,0,0,0,0,0,0,0,0,0,0
1523132153.050000,16,16,3,4,0,0,2,2,0,0,0,0,1,1,8,6,2,2,0,1,0,0,0,0,0,0,0,0,0,0
1523132153.100000,14,15,3,2,0,0,1,0,0,0,0,0,0,0,8,9,1,3,1,1,0,0,0,0,0,0,0,0,0,0
1523132153.150000,19,18,13,8,0,0,0,0,0,1,0,0,0,0,3,8,2,0,1,1,0,0,0,0,0,0,0,0,0,0
1523132153.200000,9,9,4,5,0,0,0,0,1,0,0,0,0,0,1,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0
1523132153.250000,12,12,2,5,0,0,2,1,1,0,0,0,1,1,4,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0
1523132153.300000,13,14,4,5,0,0,0,0,0,0,0,0,0,1,3,2,2,3,4,3,0,0,0,0,0,0,0,0,0,0
1523132153.350000,11,13,7,5,0,0,0,1,0,0,0,0,0,0,3,4,0,1,1,2,0,0,0,0,0,0,0,0,0,0
1523132153.400000,10,14,4,5,0,0,0,1,0,0,0,0,0,0,2,3,2,3,2,2,0,0,0,0,0,0,0,0,0,0
1523132153.450000,5,7,2,4,0,0,0,0,1,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1523132153.500000,5,9,3,8,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523132153.550000,14,15,4,5,0,0,0,0,1,1,0,0,0,0,6,5,1,2,2,2,0,0,0,0,0,0,0,0,0,0
1523132153.600000,29,16,10,3,0,0,0,0,0,1,0,0,1,1,4,2,9,5,5,4,0,0,0,0,0,0,0,0,0,0
1523132153.650000,19,19,5,7,0,0,0,0,0,0,0,0,1,0,6,6,2,2,5,4,0,0,0,0,0,0,0,0,0,0
1523132153.700000,15,19,12,8,0,0,0,0,0,0,0,0,0,1,1,8,1,0,1,2,0,0,0,0,0,0,0,0,0,0
1523132153.750000,7,10,5,3,0,0,0,0,0,0,0,0,0,0,2,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1523132153.800000,10,15,5,7,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0
1523132153.850000,13,14,8,7,0,0,0,0,0,0,0,0,0,0,4,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1523132153.900000,25,14,12,6,0,0,1,1,0,0,0,0,0,0,6,3,4,2,2,2,0,0,0,0,0,0,0,0,0,0
1523132153.950000,15,14,7,7,0,0,1,1,0,0,0,0,1,1,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1523132154.000000,9,9,3,7,0,0,0,0,1,1,0,0,0,0,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0
1523132154.050000,9,9,2,9,0,0,0,0,0,0,0,0,2,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1523132154.100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523132154.150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523132154.200000,9,9,7,0,0,0,0,0,0,0,0,0,0,0,1,5,0,2,1,2,0,0,0,0,0,0,0,0,0,0
1523132154.250000,14,14,10,2,0,0,0,0,0,0,0,0,0,2,0,8,2,2,2,0,0,0,0,0,0,0,0,0,0,0
1523132154.300000,12,12,6,4,0,0,0,0,0,0,0,0,2,0,1,6,2,2,1,0,0,0,0,0,0,0,0,0,0,0
1523132154.350000,13,13,7,0,0,0,0,0,0,0,0,0,0,1,4,4,0,6,2,2,0,0,0,0,0,0,0,0,0,0
1523132154.400000,17,20,6,13,0,0,0,0,1,0,0,0,1,2,3,1,3,1,3,3,0,0,0,0,0,0,0,0,0,0
1523132154.450000,30,27,11,16,0,0,0,0,0,0,0,0,2,1,8,4,4,2,5,4,0,0,0,0,0,0,0,0,0,0
1523132154.500000,22,22,5,6,0,0,0,0,0,0,0,0,0,0,5,4,4,5,8,7,0,0,0,0,0,0,0,0,0,0
1523132154.550000,8,7,4,3,0,0,0,0,0,1,0,0,0,0,1,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0
1523132154.600000,9,9,1,8,0,0,1,0,0,0,0,0,0,0,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1523132154.650000,6,5,3,0,0,0,0,1,0,0,0,0,0,0,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1523132154.700000,9,9,3,3,0,0,0,0,0,0,0,0,0,0,3,3,1,2,2,1,0,0,0,0,0,0,0,0,0,0
1523132154.750000,20,19,8,11,0,0,0,0,3,0,0,0,1,2,4,1,3,2,1,3,0,0,0,0,0,0,0,0,0,0
1523132154.800000,11,11,8,4,0,0,0,0,1,1,0,0,0,0,1,1,1,3,0,2,0,0,0,0,0,0,0,0,0,0
1523132154.850000,17,17,8,11,0,0,0,0,0,1,0,0,0,0,4,0,4,4,1,1,0,0,0,0,0,0,0,0,0,0
