date_time,total_http,StoriesOfTheDay_http,Browse_http,BrowseCategories_http,BrowseStoriesByCategory_http,BrowseStoriesInCategory_http,OlderStories_http,ViewStory_http,ViewComment_http,Search_http,SearchInStories_http,SearchInComments_http,SearchInUsers_http,jpg_http,html_http,total_http_out_rs,StoriesOfTheDay_http_out_rs,Browse_http_out_rs,BrowseCategories_http_out_rs,BrowseStoriesByCategory_http_out_rs,BrowseStoriesInCategory_http_out_rs,OlderStories_http_out_rs,ViewStory_http_out_rs,ViewComment_http_out_rs,Search_http_out_rs,SearchInStories_http_out_rs,SearchInComments_http_out_rs,SearchInUsers_http_out_rs,jpg_http_out_rs,html_http_out_rs
1523132153.000000,0.221923,0.180200,0.000000,0.000000,0.000000,0.000000,0.017000,0.592000,0.336500,0.012000,0.000000,0.000000,0.000000,0.000000,0.000000,1.008462,0.018000,0.000000,0.000000,0.000000,0.000000,0.011000,1.427222,0.224000,0.012000,0.000000,0.000000,0.000000,0.000000,0.000000
1523132153.050000,0.603267,0.161667,0.000000,0.023500,0.000000,0.000000,0.281000,1.122143,0.190500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.461687,0.120750,0.000000,0.023500,0.000000,0.000000,0.023000,1.069833,0.120500,0.174000,0.000000,0.000000,0.000000,0.000000,0.000000
1523132153.100000,0.621786,0.171000,0.000000,0.268000,0.000000,0.000000,0.000000,0.901375,0.713000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.864071,0.286500,0.000000,0.000000,0.000000,0.000000,0.000000,1.305000,0.361333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1523132153.150000,0.280667,0.177077,0.000000,0.000000,0.000000,0.000000,0.000000,1.179500,0.193500,0.004000,0.000000,0.000000,0.000000,0.000000,0.000000,0.526111,0.231375,0.000000,0.000000,0.233000,0.000000,0.000000,0.922750,0.000000,0.004000,0.000000,0.000000,0.000000,0.000000,0.000000
1523132153.200000,0.356000,0.232500,0.000000,0.000000,0.276000,0.000000,0.000000,1.086000,0.452000,0.008000,0.000000,0.000000,0.000000,0.000000,0.000000,0.344000,0.059400,0.000000,0.000000,0.000000,0.000000,0.000000,1.149000,0.157000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1523132153.250000,0.401417,0.247000,0.000000,0.043000,0.216000,0.000000,0.004000,0.970500,0.126000,0.009000,0.000000,0.000000,0.000000,0.000000,0.000000,0.281500,0.228800,0.000000,0.011000,0.000000,0.000000,0.004000,0.645000,0.912000,0.008500,0.000000,0.000000,0.000000,0.000000,0.000000
1523132153.300000,0.366077,0.120000,0.000000,0.000000,0.000000,0.000000,0.000000,1.162000,0.351000,0.022750,0.000000,0.000000,0.000000,0.000000,0.000000,0.213769,0.113600,0.000000,0.000000,0.000000,0.000000,0.281000,0.864000,0.352333,0.003000,0.000000,0.000000,0.000000,0.000000,0.000000
1523132153.350000,0.332455,0.133286,0.000000,0.000000,0.000000,0.000000,0.000000,0.907667,0.000000,0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,0.597077,0.200800,0.000000,0.075000,0.000000,0.000000,0.000000,1.618500,0.126000,0.041500,0.000000,0.000000,0.000000,0.000000,0.000000
1523132153.400000,0.264400,0.107000,0.000000,0.000000,0.000000,0.000000,0.000000,0.817500,0.289500,0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,0.534429,0.238800,0.000000,0.268000,0.000000,0.000000,0.000000,1.641667,0.364333,0.001000,0.000000,0.000000,0.000000,0.000000,0.000000
1523132153.450000,0.628600,0.176500,0.000000,0.000000,0.186000,0.000000,0.000000,1.302000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.390571,0.168750,0.000000,0.000000,0.276000,0.000000,0.000000,0.932000,0.851000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
