date_time,total_http,StoriesOfTheDay_http,BrowseCategories_http,BrowseStoriesByCategory_http,OlderStories_http,ViewStory_http,SubmitStory_http,StoreStory_http,ViewComment_http,PostComment_http,StoreComment_http,ModerateComment_http,StoreModeratorLog_http,ReviewStories_http,AcceptStory_http,RejectStory_http,Search_http,RegisterUser_http,Author_http,jpg_http,html_http,http_total_longReq,http_adjustLoad
1523133172.000000,7433.460011,4946.400005,59.579998,61.000000,89.660000,802.000004,100.700001,69.000000,243.360001,190.079998,240.560005,10.000000,13.000000,17.000000,6.000000,2.000000,281.840000,43.000000,14.000000,0.000000,244.279999,7295.600006,137.860004
1523133172.050000,7412.380005,4945.400002,58.760002,61.000000,88.599998,799.760002,100.000000,69.000000,239.840000,188.639992,234.380001,10.000000,13.000000,16.560001,6.000000,2.000000,279.900005,43.000000,14.000000,0.000000,242.540001,7278.519997,133.860008
1523133172.100000,7400.280041,4939.600010,57.620003,61.140003,88.720001,797.560009,101.060001,69.000000,238.560001,188.240002,234.459999,9.639999,13.000000,16.000000,6.000000,2.000000,279.540005,43.000000,14.000000,0.000000,241.140007,7269.620018,130.660023
1523133172.150000,7397.319996,4937.440002,57.000000,62.000000,88.000000,795.459999,102.000000,69.000000,237.279999,186.820000,236.099995,9.000000,13.000000,16.000000,6.000000,2.000000,280.459999,43.000000,14.000000,0.000000,242.760002,7266.219997,131.099998
1523133172.200000,7395.559998,4935.859997,57.000000,62.000000,88.000000,792.340000,102.000000,69.580002,238.000000,186.139999,236.000000,9.000000,13.000000,16.060001,6.000000,2.000000,282.579998,43.000000,14.000000,0.000000,243.000000,7267.020000,128.539997
1523133172.250000,7392.959995,4935.879997,57.000000,62.000000,87.659996,789.119999,101.580002,70.000000,238.000000,186.740002,235.399998,9.000000,13.000000,17.000000,6.000000,2.000000,282.580002,43.000000,14.000000,0.000000,243.000000,7266.779995,126.180000
1523133172.300000,7387.459999,4935.799995,57.000000,62.000000,86.000000,787.820004,101.000000,70.000000,238.279999,186.779999,233.119999,9.000000,13.000000,17.000000,5.259998,2.000000,282.000000,43.000000,14.000000,0.000000,244.400005,7264.479992,122.980007
1523133172.350000,7386.700001,4934.239998,57.000000,62.000000,85.779999,788.000004,101.000000,70.000000,240.960003,186.000000,233.920002,9.000000,13.000000,17.000000,5.000000,2.000000,280.579994,43.000000,14.000000,0.000000,244.220001,7261.599995,125.100006
1523133172.400000,7379.500011,4932.100010,55.380001,62.620003,84.800003,786.999996,101.139999,69.500000,242.399998,185.040009,233.919998,9.000000,12.759998,16.379997,5.000000,2.000000,280.339996,43.000000,14.000000,0.000000,243.120003,7259.540005,119.960007
1523133172.450000,7370.699986,4927.979996,55.000000,63.000000,84.079998,787.019993,102.000000,68.000000,243.059998,184.000000,232.640003,9.000000,12.000000,16.000000,5.000000,2.000000,281.359997,42.020000,14.000000,0.000000,242.540001,7254.520000,116.179985
1523133172.500000,7376.180004,4933.720001,55.160000,63.400002,85.980003,787.320000,102.000000,68.000000,241.220001,185.579998,231.239998,9.000000,12.000000,16.580002,5.000000,2.000000,280.359997,40.699997,14.000000,0.000000,242.920006,7252.599995,123.580009
1523133172.550000,7413.119984,4941.319992,57.559998,65.059994,86.000000,796.580002,103.000000,70.559998,244.160000,192.119999,229.160007,9.000000,12.000000,17.000000,5.000000,2.000000,280.679996,41.000000,14.000000,0.000000,246.919998,7270.379982,142.740002
1523133172.600000,7470.479992,4943.639988,59.000000,65.399998,85.919998,813.840012,103.799999,72.840000,254.299999,200.560005,229.059998,9.000000,12.980000,17.080002,5.940002,2.000000,287.959995,41.000000,14.000000,0.000000,252.159996,7293.899982,176.580009
1523133172.650000,7520.540012,4948.520000,60.040001,68.960007,85.260002,829.079998,106.099995,72.939995,260.299984,203.100002,231.260002,9.259998,12.579998,18.000000,6.000000,2.000000,295.880024,40.500008,14.000000,0.000000,256.759998,7311.640003,208.900009
1523133172.700000,7508.959984,4938.739994,61.000000,69.539997,85.439995,829.299999,108.860001,71.759998,257.879997,200.300003,230.080002,10.100002,12.000000,18.000000,6.100002,2.000000,298.259991,39.000000,14.980000,0.000000,255.620003,7298.379997,210.579987
