date_time,total_http_start,total_http_end,StoriesOfTheDay_http_start,StoriesOfTheDay_http_end,Browse_http_start,Browse_http_end,BrowseCategories_http_start,BrowseCategories_http_end,BrowseStoriesByCategory_http_start,BrowseStoriesByCategory_http_end,BrowseStoriesInCategory_http_start,BrowseStoriesInCategory_http_end,OlderStories_http_start,OlderStories_http_end,ViewStory_http_start,ViewStory_http_end,ViewComment_http_start,ViewComment_http_end,Search_http_start,Search_http_end,SearchInStories_http_start,SearchInStories_http_end,SearchInComments_http_start,SearchInComments_http_end,SearchInUsers_http_start,SearchInUsers_http_end,jpg_http_start,jpg_http_end,html_http_start,html_http_end
1541027730.000000,10,9,3,3,0,0,0,0,1,1,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0
1541027730.050000,43,44,3,3,0,0,0,0,0,0,0,0,0,0,35,35,5,6,0,0,0,0,0,0,0,0,0,0,0,0
1541027730.100000,21,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,17,17,3,3,0,0,0,0,0,0,0,0,0,0
1541027730.150000,26,26,1,1,0,0,0,0,0,0,0,0,0,0,16,16,9,9,0,0,0,0,0,0,0,0,0,0,0,0
1541027730.200000,31,30,2,2,0,0,0,0,0,0,0,0,0,0,29,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1541027730.250000,61,62,1,1,0,0,0,0,1,1,0,0,0,0,41,42,14,14,4,4,0,0,0,0,0,0,0,0,0,0
1541027730.300000,20,20,3,3,0,0,1,1,0,0,0,0,0,0,6,6,10,10,0,0,0,0,0,0,0,0,0,0,0,0
1541027730.350000,19,17,3,2,0,0,0,0,0,0,0,0,0,0,7,6,7,7,2,2,0,0,0,0,0,0,0,0,0,0
1541027730.400000,12,13,2,2,0,0,0,0,0,0,0,0,0,0,6,7,4,4,0,0,0,0,0,0,0,0,0,0,0,0
1541027730.450000,16,17,3,4,0,0,0,0,1,1,0,0,0,0,0,0,10,10,2,2,0,0,0,0,0,0,0,0,0,0
1541027730.500000,16,16,2,2,0,0,0,0,0,0,0,0,2,2,5,5,7,7,0,0,0,0,0,0,0,0,0,0,0,0
1541027730.550000,22,21,3,3,0,0,0,0,0,0,0,0,0,0,8,8,9,8,2,2,0,0,0,0,0,0,0,0,0,0
1541027730.600000,15,16,5,5,0,0,0,0,0,0,0,0,0,0,0,0,10,11,0,0,0,0,0,0,0,0,0,0,0,0
1541027730.650000,7,7,2,2,0,0,0,0,2,2,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
1541027730.700000,12,12,1,1,0,0,1,1,0,0,0,0,0,0,7,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0
1541027730.750000,14,14,3,3,0,0,1,1,0,0,0,0,0,0,7,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0
1541027730.800000,13,13,2,2,0,0,0,0,0,0,0,0,0,0,5,5,6,6,0,0,0,0,0,0,0,0,0,0,0,0
1541027730.850000,18,18,2,2,0,0,0,0,0,0,0,0,0,0,6,6,10,10,0,0,0,0,0,0,0,0,0,0,0,0
1541027730.900000,27,26,0,0,0,0,1,1,0,0,0,0,0,0,20,19,6,6,0,0,0,0,0,0,0,0,0,0,0,0
1541027730.950000,17,16,3,2,0,0,0,0,0,0,0,0,0,0,6,6,8,8,0,0,0,0,0,0,0,0,0,0,0,0
1541027731.000000,30,32,0,1,0,0,0,0,0,0,0,0,0,0,26,27,3,3,1,1,0,0,0,0,0,0,0,0,0,0
1541027731.050000,33,33,1,1,0,0,0,0,1,1,0,0,2,2,26,26,3,3,0,0,0,0,0,0,0,0,0,0,0,0
1541027731.100000,15,13,4,3,0,0,0,0,0,0,0,0,0,0,6,6,3,2,2,2,0,0,0,0,0,0,0,0,0,0
1541027731.150000,27,29,3,4,0,0,0,0,1,1,0,0,2,2,10,10,11,12,0,0,0,0,0,0,0,0,0,0,0,0
1541027731.200000,22,22,1,1,0,0,1,1,0,0,0,0,0,0,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0
1541027731.250000,17,15,0,0,0,0,0,0,1,1,0,0,0,0,6,5,9,9,1,0,0,0,0,0,0,0,0,0,0,0
1541027731.300000,21,22,2,2,0,0,0,0,1,0,0,0,0,0,11,12,6,6,1,2,0,0,0,0,0,0,0,0,0,0
1541027731.350000,10,10,0,0,0,0,0,0,0,1,0,0,0,0,8,7,0,0,2,2,0,0,0,0,0,0,0,0,0,0
1541027731.400000,40,41,1,1,0,0,0,0,0,0,0,0,0,0,28,29,9,9,2,2,0,0,0,0,0,0,0,0,0,0
1541027731.450000,12,11,2,2,0,0,0,0,0,0,0,0,0,0,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1541027731.500000,34,35,2,2,0,0,0,0,2,2,0,0,0,0,30,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1541027731.550000,4,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
1541027731.600000,20,19,4,4,0,0,0,0,0,0,0,0,0,0,2,1,14,14,0,0,0,0,0,0,0,0,0,0,0,0
1541027731.650000,21,20,4,4,0,0,0,0,0,0,0,0,0,0,12,12,4,3,1,1,0,0,0,0,0,0,0,0,0,0
1541027731.700000,19,20,2,2,0,0,0,0,0,0,0,0,0,0,12,12,2,3,3,3,0,0,0,0,0,0,0,0,0,0
1541027731.750000,28,28,3,3,0,0,1,1,0,0,0,0,0,0,11,11,12,12,1,1,0,0,0,0,0,0,0,0,0,0
1541027731.800000,20,20,5,5,0,0,0,0,0,0,0,0,0,0,11,12,2,1,2,2,0,0,0,0,0,0,0,0,0,0
1541027731.850000,25,26,1,1,0,0,0,0,0,0,0,0,0,0,13,13,10,11,1,1,0,0,0,0,0,0,0,0,0,0
1541027731.900000,29,27,2,2,0,0,0,0,1,1,0,0,2,2,16,14,8,8,0,0,0,0,0,0,0,0,0,0,0,0
1541027731.950000,12,13,0,0,0,0,0,0,0,0,0,0,0,0,2,4,10,9,0,0,0,0,0,0,0,0,0,0,0,0
1541027732.000000,8,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,0,0,0,0,0,0,0,0,0,0
1541027732.050000,15,12,3,3,0,0,0,0,2,1,0,0,0,0,7,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0
1541027732.100000,33,31,2,2,0,0,0,0,0,1,0,0,0,0,26,23,3,3,2,2,0,0,0,0,0,0,0,0,0,0
1541027732.150000,35,40,1,1,0,0,0,0,0,0,0,0,0,0,28,33,6,6,0,0,0,0,0,0,0,0,0,0,0,0
1541027732.200000,48,47,1,1,0,0,0,0,0,0,0,0,0,0,29,29,18,17,0,0,0,0,0,0,0,0,0,0,0,0
1541027732.250000,16,17,2,2,0,0,0,0,1,1,0,0,0,0,0,0,13,14,0,0,0,0,0,0,0,0,0,0,0,0
1541027732.300000,25,25,1,1,0,0,1,1,0,0,0,0,2,2,11,11,10,10,0,0,0,0,0,0,0,0,0,0,0,0
1541027732.350000,26,26,1,1,0,0,1,1,0,0,0,0,0,0,18,18,4,4,2,2,0,0,0,0,0,0,0,0,0,0
1541027732.400000,15,14,4,4,0,0,0,0,0,0,0,0,0,0,4,3,7,7,0,0,0,0,0,0,0,0,0,0,0,0
1541027732.450000,33,31,4,4,0,0,0,0,1,1,0,0,0,0,23,22,5,4,0,0,0,0,0,0,0,0,0,0,0,0
1541027732.500000,18,21,3,3,0,0,0,0,0,0,0,0,0,0,10,12,5,6,0,0,0,0,0,0,0,0,0,0,0,0
1541027732.550000,35,35,1,1,0,0,0,0,1,1,0,0,0,0,24,24,9,9,0,0,0,0,0,0,0,0,0,0,0,0
1541027732.600000,31,30,1,1,0,0,0,0,1,1,0,0,0,0,19,18,10,10,0,0,0,0,0,0,0,0,0,0,0,0
1541027732.650000,27,27,2,2,0,0,0,0,0,0,0,0,0,0,10,10,14,14,1,1,0,0,0,0,0,0,0,0,0,0
1541027732.700000,16,17,2,2,0,0,0,0,0,0,0,0,0,0,11,12,3,3,0,0,0,0,0,0,0,0,0,0,0,0
1541027732.750000,30,29,3,3,0,0,0,0,0,0,0,0,0,0,22,21,3,3,2,2,0,0,0,0,0,0,0,0,0,0
1541027732.800000,32,32,2,2,0,0,0,0,0,0,0,0,0,0,7,8,23,22,0,0,0,0,0,0,0,0,0,0,0,0
1541027732.850000,17,16,3,2,0,0,0,0,0,0,0,0,0,0,5,5,9,9,0,0,0,0,0,0,0,0,0,0,0,0
1541027732.900000,9,10,2,3,0,0,1,1,0,0,0,0,0,0,2,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0
1541027732.950000,20,21,2,2,0,0,0,0,0,0,0,0,0,0,10,11,8,8,0,0,0,0,0,0,0,0,0,0,0,0
1541027733.000000,7,6,3,3,0,0,0,0,0,0,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1541027733.050000,27,26,2,2,0,0,0,0,1,1,0,0,0,0,15,14,9,9,0,0,0,0,0,0,0,0,0,0,0,0
1541027733.100000,29,31,2,2,0,0,0,0,0,0,0,0,0,0,19,21,8,8,0,0,0,0,0,0,0,0,0,0,0,0
1541027733.150000,19,19,1,1,0,0,0,0,1,1,0,0,0,0,12,12,3,3,2,2,0,0,0,0,0,0,0,0,0,0
1541027733.200000,16,16,1,1,0,0,0,0,0,0,0,0,0,0,10,10,3,3,2,2,0,0,0,0,0,0,0,0,0,0
1541027733.250000,23,22,2,2,0,0,0,0,1,1,0,0,0,0,7,6,11,11,2,2,0,0,0,0,0,0,0,0,0,0
1541027733.300000,14,15,2,2,0,0,0,0,0,0,0,0,0,0,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1541027733.350000,18,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,2,2,0,0,0,0,0,0,0,0,0,0
1541027733.400000,35,34,2,2,0,0,0,0,0,0,0,0,0,0,18,16,13,14,2,2,0,0,0,0,0,0,0,0,0,0
1541027733.450000,17,18,0,0,0,0,0,0,1,1,0,0,0,0,0,2,15,14,1,1,0,0,0,0,0,0,0,0,0,0
1541027733.500000,24,22,2,2,0,0,0,0,0,0,0,0,0,0,8,6,13,13,1,1,0,0,0,0,0,0,0,0,0,0
1541027733.550000,15,18,1,1,0,0,0,0,1,1,0,0,0,0,6,8,7,8,0,0,0,0,0,0,0,0,0,0,0,0
1541027733.600000,28,28,1,1,0,0,1,1,0,0,0,0,2,2,17,17,3,3,4,4,0,0,0,0,0,0,0,0,0,0
1541027733.650000,49,45,0,0,0,0,0,0,0,0,0,0,0,0,21,19,28,26,0,0,0,0,0,0,0,0,0,0,0,0
1541027733.700000,39,42,2,1,0,0,0,0,0,0,0,0,0,0,27,29,10,12,0,0,0,0,0,0,0,0,0,0,0,0
1541027733.750000,12,12,2,3,0,0,1,1,0,0,0,0,0,0,0,0,9,8,0,0,0,0,0,0,0,0,0,0,0,0
1541027733.800000,30,31,1,1,0,0,0,0,0,0,0,0,0,0,24,24,5,6,0,0,0,0,0,0,0,0,0,0,0,0
1541027733.850000,6,5,2,1,0,0,0,0,1,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
1541027733.900000,14,14,0,1,0,0,0,0,0,0,0,0,0,0,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1541027733.950000,17,17,1,1,0,0,0,0,0,0,0,0,0,0,11,12,5,4,0,0,0,0,0,0,0,0,0,0,0,0
1541027734.000000,33,31,2,1,0,0,0,0,1,1,0,0,0,0,19,18,5,6,6,5,0,0,0,0,0,0,0,0,0,0
1541027734.050000,21,23,1,2,0,0,0,0,1,0,0,0,0,0,13,14,6,6,0,1,0,0,0,0,0,0,0,0,0,0
1541027734.100000,51,50,2,2,0,0,1,0,0,1,0,0,2,2,36,35,10,10,0,0,0,0,0,0,0,0,0,0,0,0
1541027734.150000,28,30,3,3,0,0,0,1,0,0,0,0,0,0,18,19,3,3,4,4,0,0,0,0,0,0,0,0,0,0
1541027734.200000,35,35,2,2,0,0,0,0,0,0,0,0,0,0,25,25,6,6,2,2,0,0,0,0,0,0,0,0,0,0
1541027734.250000,37,36,2,2,0,0,0,0,1,1,0,0,0,0,26,25,8,8,0,0,0,0,0,0,0,0,0,0,0,0
1541027734.300000,14,14,2,2,0,0,0,0,1,1,0,0,2,2,7,7,0,0,2,2,0,0,0,0,0,0,0,0,0,0
1541027734.350000,7,8,1,1,0,0,0,0,0,0,0,0,2,2,2,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0
1541027734.400000,28,27,1,1,0,0,0,0,0,0,0,0,2,2,11,11,9,8,5,5,0,0,0,0,0,0,0,0,0,0
1541027734.450000,13,14,0,0,0,0,0,0,0,0,0,0,0,0,10,10,2,3,1,1,0,0,0,0,0,0,0,0,0,0
1541027734.500000,12,12,1,1,0,0,0,0,0,0,0,0,0,0,5,5,6,6,0,0,0,0,0,0,0,0,0,0,0,0
1541027734.550000,6,6,1,1,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1541027734.600000,23,23,1,1,0,0,0,0,0,0,0,0,0,0,19,19,3,3,0,0,0,0,0,0,0,0,0,0,0,0
1541027734.650000,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0
1541027734.700000,14,13,0,0,0,0,0,0,1,1,0,0,0,0,8,7,5,5,0,0,0,0,0,0,0,0,0,0,0,0
1541027734.750000,26,27,1,1,0,0,0,0,0,0,0,0,0,0,8,9,17,17,0,0,0,0,0,0,0,0,0,0,0,0
1541027734.800000,40,40,0,0,0,0,1,1,0,0,0,0,0,0,21,21,14,14,4,4,0,0,0,0,0,0,0,0,0,0
1541027734.850000,21,20,1,1,0,0,0,0,0,0,0,0,0,0,13,12,5,5,2,2,0,0,0,0,0,0,0,0,0,0
1541027734.900000,8,9,2,2,0,0,0,0,0,0,0,0,0,0,0,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0
1541027734.950000,18,16,0,0,0,0,0,0,0,0,0,0,0,0,6,6,8,7,4,3,0,0,0,0,0,0,0,0,0,0
1541027735.000000,10,11,2,2,0,0,0,0,0,0,0,0,0,0,7,6,1,2,0,1,0,0,0,0,0,0,0,0,0,0
1541027735.050000,9,9,1,1,0,0,0,0,0,0,0,0,0,0,6,7,0,0,2,1,0,0,0,0,0,0,0,0,0,0
1541027735.100000,23,22,2,2,0,0,0,0,0,0,0,0,0,0,13,13,8,6,0,1,0,0,0,0,0,0,0,0,0,0
1541027735.150000,22,23,5,5,0,0,0,0,0,0,0,0,0,0,7,6,7,9,3,3,0,0,0,0,0,0,0,0,0,0
1541027735.200000,50,49,0,0,0,0,0,0,0,0,0,0,0,0,41,42,9,7,0,0,0,0,0,0,0,0,0,0,0,0
1541027735.250000,29,29,1,1,0,0,0,0,0,0,0,0,2,2,17,16,5,7,4,3,0,0,0,0,0,0,0,0,0,0
1541027735.300000,17,18,2,2,0,0,1,1,1,1,0,0,0,0,8,9,3,3,2,2,0,0,0,0,0,0,0,0,0,0
1541027735.350000,29,29,0,0,0,0,0,0,0,0,0,0,0,0,26,25,3,3,0,1,0,0,0,0,0,0,0,0,0,0
1541027735.400000,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1541027735.450000,20,19,4,4,0,0,1,1,0,0,0,0,0,0,8,7,3,3,4,4,0,0,0,0,0,0,0,0,0,0
1541027735.500000,15,15,1,1,0,0,0,0,0,0,0,0,0,0,5,5,7,7,2,2,0,0,0,0,0,0,0,0,0,0
1541027735.550000,12,11,0,0,0,0,0,0,0,0,0,0,0,0,11,10,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1541027735.600000,30,32,0,0,0,0,0,0,0,0,0,0,0,0,19,21,10,10,1,1,0,0,0,0,0,0,0,0,0,0
1541027735.650000,9,9,3,3,0,0,1,1,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1541027735.700000,30,30,1,1,0,0,0,0,1,1,0,0,2,2,16,16,9,9,1,1,0,0,0,0,0,0,0,0,0,0
1541027735.750000,22,21,3,3,0,0,0,0,0,0,0,0,0,0,8,8,9,8,2,2,0,0,0,0,0,0,0,0,0,0
1541027735.800000,20,21,2,2,0,0,0,0,0,0,0,0,0,0,12,12,6,7,0,0,0,0,0,0,0,0,0,0,0,0
1541027735.850000,16,15,4,4,0,0,0,0,0,0,0,0,2,2,4,3,6,6,0,0,0,0,0,0,0,0,0,0,0,0
1541027735.900000,30,31,1,1,0,0,0,0,0,0,0,0,0,0,21,22,8,8,0,0,0,0,0,0,0,0,0,0,0,0
1541027735.950000,13,12,1,1,0,0,0,0,1,1,0,0,2,2,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1541027736.000000,58,57,0,0,0,0,0,0,0,0,0,0,0,0,38,38,18,18,2,1,0,0,0,0,0,0,0,0,0,0
1541027736.050000,21,23,1,1,0,0,0,0,0,0,0,0,0,0,20,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1541027736.100000,15,15,1,1,0,0,0,0,1,1,0,0,0,0,6,6,7,7,0,0,0,0,0,0,0,0,0,0,0,0
1541027736.150000,20,18,1,1,0,0,0,0,1,1,0,0,0,0,8,7,8,7,2,2,0,0,0,0,0,0,0,0,0,0
1541027736.200000,22,22,1,1,0,0,0,0,1,1,0,0,0,0,5,5,13,14,2,1,0,0,0,0,0,0,0,0,0,0
1541027736.250000,32,30,1,1,0,0,0,0,0,0,0,0,0,0,22,22,8,6,1,1,0,0,0,0,0,0,0,0,0,0
1541027736.300000,46,47,0,0,0,0,0,0,0,0,0,0,0,0,39,37,5,7,2,3,0,0,0,0,0,0,0,0,0,0
1541027736.350000,16,19,1,1,0,0,0,0,0,0,0,0,0,0,8,11,7,7,0,0,0,0,0,0,0,0,0,0,0,0
1541027736.400000,24,23,1,1,0,0,0,0,0,0,0,0,0,0,13,12,10,10,0,0,0,0,0,0,0,0,0,0,0,0
1541027736.450000,23,24,3,3,0,0,0,0,1,1,0,0,2,2,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1541027736.500000,30,30,0,0,0,0,0,0,0,0,0,0,0,0,21,21,9,9,0,0,0,0,0,0,0,0,0,0,0,0
1541027736.550000,8,8,0,0,0,0,0,0,0,0,0,0,2,2,0,0,4,4,2,2,0,0,0,0,0,0,0,0,0,0
1541027736.600000,16,15,3,3,0,0,0,0,0,0,0,0,0,0,11,11,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1541027736.650000,26,27,3,3,0,0,1,1,0,0,0,0,0,0,17,17,5,6,0,0,0,0,0,0,0,0,0,0,0,0
1541027736.700000,11,11,5,5,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1541027736.750000,29,28,0,0,0,0,0,0,0,0,0,0,2,2,14,13,11,11,2,2,0,0,0,0,0,0,0,0,0,0
1541027736.800000,20,20,0,0,0,0,0,0,0,0,0,0,2,2,7,8,7,7,4,3,0,0,0,0,0,0,0,0,0,0
1541027736.850000,18,16,1,1,0,0,0,0,0,0,0,0,0,0,14,13,3,2,0,0,0,0,0,0,0,0,0,0,0,0
1541027736.900000,5,7,1,1,0,0,0,0,0,0,0,0,0,0,2,3,2,2,0,1,0,0,0,0,0,0,0,0,0,0
1541027736.950000,23,24,0,0,0,0,0,0,0,0,0,0,0,0,5,5,18,19,0,0,0,0,0,0,0,0,0,0,0,0
1541027737.000000,9,9,2,2,0,0,0,0,0,0,0,0,2,2,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0
1541027737.050000,23,22,4,4,0,0,0,0,0,0,0,0,0,0,18,17,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1541027737.100000,16,17,2,2,0,0,1,1,0,0,0,0,0,0,7,8,6,6,0,0,0,0,0,0,0,0,0,0,0,0
1541027737.150000,11,9,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,4,2,2,0,0,0,0,0,0,0,0,0,0
1541027737.200000,24,25,2,2,0,0,0,0,1,1,0,0,0,0,15,17,5,4,1,1,0,0,0,0,0,0,0,0,0,0
1541027737.250000,18,19,2,2,0,0,0,0,0,0,0,0,0,0,8,8,6,7,2,2,0,0,0,0,0,0,0,0,0,0
1541027737.300000,21,21,0,0,0,0,0,0,2,2,0,0,4,4,0,0,13,13,2,2,0,0,0,0,0,0,0,0,0,0
1541027737.350000,19,19,3,3,0,0,0,0,0,0,0,0,6,6,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0
1541027737.400000,48,46,1,1,0,0,0,0,0,0,0,0,2,2,36,35,9,8,0,0,0,0,0,0,0,0,0,0,0,0
1541027737.450000,16,15,2,2,0,0,0,0,0,0,0,0,0,0,8,7,6,6,0,0,0,0,0,0,0,0,0,0,0,0
1541027737.500000,19,22,3,3,0,0,0,0,1,1,0,0,0,0,10,12,5,6,0,0,0,0,0,0,0,0,0,0,0,0
1541027737.550000,25,24,1,1,0,0,0,0,0,0,0,0,0,0,19,18,3,3,2,2,0,0,0,0,0,0,0,0,0,0
1541027737.600000,27,27,2,2,0,0,0,0,0,0,0,0,2,1,15,16,8,8,0,0,0,0,0,0,0,0,0,0,0,0
1541027737.650000,8,9,2,2,0,0,0,0,0,0,0,0,0,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1541027737.700000,7,7,1,1,0,0,0,0,1,1,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1541027737.750000,12,11,1,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,3,3,0,0,0,0,0,0,0,0,0,0
1541027737.800000,13,13,2,2,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0
1541027737.850000,21,22,3,4,0,0,0,0,0,0,0,0,0,0,14,14,4,4,0,0,0,0,0,0,0,0,0,0,0,0
1541027737.900000,36,34,1,0,0,0,0,0,1,1,0,0,0,0,19,18,15,15,0,0,0,0,0,0,0,0,0,0,0,0
1541027737.950000,28,28,1,2,0,0,0,0,0,0,0,0,0,0,20,19,7,7,0,0,0,0,0,0,0,0,0,0,0,0
1541027738.000000,33,35,1,1,0,0,0,0,0,0,0,0,0,0,11,13,19,19,2,2,0,0,0,0,0,0,0,0,0,0
1541027738.050000,26,25,1,1,0,0,0,0,0,0,0,0,0,0,19,18,4,4,2,2,0,0,0,0,0,0,0,0,0,0
1541027738.100000,18,19,2,2,0,0,0,0,0,0,0,0,0,0,2,3,12,12,2,2,0,0,0,0,0,0,0,0,0,0
1541027738.150000,33,32,3,3,0,0,0,0,0,0,0,0,2,2,15,14,13,13,0,0,0,0,0,0,0,0,0,0,0,0
1541027738.200000,37,38,2,2,0,0,0,0,0,0,0,0,2,2,26,27,3,3,4,4,0,0,0,0,0,0,0,0,0,0
1541027738.250000,25,24,1,1,0,0,0,0,1,1,0,0,0,0,16,15,7,7,0,0,0,0,0,0,0,0,0,0,0,0
1541027738.300000,18,18,1,1,0,0,2,2,0,0,0,0,0,0,7,7,8,8,0,0,0,0,0,0,0,0,0,0,0,0
1541027738.350000,26,25,2,2,0,0,0,0,0,0,0,0,2,2,22,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1541027738.400000,23,24,0,0,0,0,0,0,1,1,0,0,0,0,10,11,12,12,0,0,0,0,0,0,0,0,0,0,0,0
1541027738.450000,15,16,3,3,0,0,0,0,0,0,0,0,2,2,5,6,3,3,2,2,0,0,0,0,0,0,0,0,0,0
1541027738.500000,9,9,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,0,0,0,0,0,0,0,0,0,0
1541027738.550000,8,8,1,1,0,0,0,0,0,0,0,0,0,0,3,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0
1541027738.600000,9,8,2,2,0,0,0,0,0,0,0,0,0,0,3,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0
