date_time,total_http_start,total_http_end,StoriesOfTheDay_http_start,StoriesOfTheDay_http_end,Browse_http_start,Browse_http_end,BrowseCategories_http_start,BrowseCategories_http_end,BrowseStoriesByCategory_http_start,BrowseStoriesByCategory_http_end,BrowseStoriesInCategory_http_start,BrowseStoriesInCategory_http_end,OlderStories_http_start,OlderStories_http_end,ViewStory_http_start,ViewStory_http_end,ViewComment_http_start,ViewComment_http_end,Search_http_start,Search_http_end,SearchInStories_http_start,SearchInStories_http_end,SearchInComments_http_start,SearchInComments_http_end,SearchInUsers_http_start,SearchInUsers_http_end,jpg_http_start,jpg_http_end,html_http_start,html_http_end
1523128992.000000,80,88,5,8,0,0,0,0,2,2,0,0,2,1,44,44,26,30,1,3,0,0,0,0,0,0,0,0,0,0
1523128992.050000,59,54,4,6,0,0,2,1,0,0,0,0,1,0,32,32,16,14,4,1,0,0,0,0,0,0,0,0,0,0
1523128992.100000,89,92,6,5,0,0,0,0,0,1,0,0,3,6,42,42,31,30,7,8,0,0,0,0,0,0,0,0,0,0
1523128992.150000,96,90,10,7,0,0,1,1,0,0,0,0,2,3,47,47,33,31,3,1,0,0,0,0,0,0,0,0,0,0
1523128992.200000,86,84,11,7,0,0,1,0,1,0,0,0,1,1,49,49,20,21,3,6,0,0,0,0,0,0,0,0,0,0
1523128992.250000,62,66,11,7,0,0,0,2,0,1,0,0,1,0,29,29,20,25,1,2,0,0,0,0,0,0,0,0,0,0
1523128992.300000,105,99,6,10,0,0,1,1,3,0,0,0,3,3,53,53,34,28,5,4,0,0,0,0,0,0,0,0,0,0
1523128992.350000,78,82,9,10,0,0,0,0,2,2,0,0,1,2,42,42,21,23,3,3,0,0,0,0,0,0,0,0,0,0
1523128992.400000,70,64,11,6,0,0,0,0,2,1,0,0,3,3,30,30,22,21,2,3,0,0,0,0,0,0,0,0,0,0
1523128992.450000,98,107,8,11,0,0,0,0,0,2,0,0,1,0,47,47,39,41,3,6,0,0,0,0,0,0,0,0,0,0
1523128992.500000,90,84,7,9,0,0,1,0,2,2,0,0,3,1,52,52,23,19,2,1,0,0,0,0,0,0,0,0,0,0
1523128992.550000,84,85,12,9,0,0,0,0,1,2,0,0,5,3,40,40,25,29,1,2,0,0,0,0,0,0,0,0,0,0
1523128992.600000,85,84,14,7,0,0,0,1,0,1,0,0,2,2,45,45,22,28,2,0,0,0,0,0,0,0,0,0,0,0
1523128992.650000,79,77,6,8,0,0,0,0,2,0,0,0,2,3,37,37,25,25,7,4,0,0,0,0,0,0,0,0,0,0
1523128992.700000,89,91,10,13,0,0,0,0,0,2,0,0,3,2,45,45,27,21,4,8,0,0,0,0,0,0,0,0,0,0
1523128992.750000,90,90,5,14,0,0,1,0,1,0,0,0,7,5,43,43,29,27,4,1,0,0,0,0,0,0,0,0,0,0
1523128992.800000,73,75,5,3,0,0,0,0,0,0,0,0,2,4,37,37,25,29,4,2,0,0,0,0,0,0,0,0,0,0
1523128992.850000,84,96,9,12,0,0,1,0,0,1,0,0,7,7,41,42,21,26,5,8,0,0,0,0,0,0,0,0,0,0
1523128992.900000,102,93,13,15,0,0,0,2,2,0,0,0,2,6,42,41,35,24,8,5,0,0,0,0,0,0,0,0,0,0
1523128992.950000,86,88,8,4,0,0,1,0,2,1,0,0,0,0,47,47,25,30,3,6,0,0,0,0,0,0,0,0,0,0
1523128993.000000,81,81,9,9,0,0,0,0,0,2,0,0,1,1,43,43,24,22,4,4,0,0,0,0,0,0,0,0,0,0
1523128993.050000,91,85,8,7,0,0,0,1,0,1,0,0,3,2,44,44,30,29,6,1,0,0,0,0,0,0,0,0,0,0
1523128993.100000,85,87,6,10,0,0,2,0,3,0,0,0,2,3,37,39,28,27,7,8,0,0,0,0,0,0,0,0,0,0
1523128993.150000,73,73,5,4,0,0,1,1,1,2,0,0,1,0,41,39,22,22,2,5,0,0,0,0,0,0,0,0,0,0
