date_time,total_http_start,total_http_end,select_http_start,select_http_end,SELECT_http_start,SELECT_http_end,INSERT_http_start,INSERT_http_end,insert_http_start,insert_http_end,UPDATE_http_start,UPDATE_http_end,update_http_start,update_http_end,DELETE_http_start,DELETE_http_end,delete_http_start,delete_http_end,commit;_http_start,commit;_http_end,SHOW_http_start,SHOW_http_end,SET_http_start,SET_http_end,/bin_http_start,/bin_http_end,#_http_start,#_http_end
1523129704.000000,89,77,0,0,82,70,5,6,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1523129704.050000,85,98,0,0,79,91,6,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523129704.100000,120,117,0,0,101,99,13,12,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523129704.150000,111,115,0,0,99,102,7,8,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523129704.200000,107,106,0,0,90,90,9,8,0,0,7,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1523129704.250000,128,132,0,0,114,118,7,7,0,0,6,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1523129704.300000,123,123,0,0,109,110,6,5,0,0,6,6,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
1523129704.350000,109,111,0,0,103,103,3,5,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523129704.400000,108,105,0,0,85,83,18,17,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523129704.450000,138,131,0,0,128,121,5,6,0,0,4,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1523129704.500000,95,95,0,0,89,89,3,2,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523129704.550000,109,118,0,0,89,98,12,12,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523129704.600000,106,104,0,0,86,84,12,12,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523129704.650000,116,118,0,0,104,106,9,9,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523129704.700000,122,120,0,0,110,107,9,10,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523129704.750000,98,79,0,0,94,76,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523129704.800000,127,124,0,0,124,121,1,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
1523129704.850000,101,119,0,0,96,114,3,3,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1523129704.900000,112,115,0,0,93,96,11,11,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523129704.950000,124,127,0,0,102,105,13,13,0,0,8,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1523129705.000000,119,116,0,0,102,99,11,12,0,0,5,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1523129705.050000,116,115,0,0,104,103,6,5,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523129705.100000,81,78,0,0,74,71,2,2,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523129705.150000,126,127,0,0,111,112,8,8,0,0,6,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1523129705.200000,113,119,0,0,103,108,8,9,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523129705.250000,104,98,0,0,95,90,7,6,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1523129705.300000,81,59,0,0,80,58,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523129705.350000,104,121,0,0,100,117,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523129705.400000,129,138,0,0,118,127,6,5,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523129705.450000,108,103,0,0,102,97,2,2,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523129705.500000,108,113,0,0,98,103,5,6,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523129705.550000,126,121,0,0,112,107,6,6,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523129705.600000,88,93,0,0,73,78,11,10,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523129705.650000,152,113,0,0,149,110,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523129705.700000,98,116,0,0,94,112,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523129705.750000,124,128,0,0,119,123,3,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523129705.800000,116,123,0,0,112,119,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523129705.850000,118,110,0,0,110,102,6,6,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523129705.900000,105,122,0,0,99,116,2,2,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523129705.950000,108,104,0,0,102,98,3,4,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523129706.000000,108,104,0,0,100,96,6,5,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523129706.050000,101,105,0,0,96,100,4,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523129706.100000,118,115,0,0,100,97,14,14,0,0,3,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1523129706.150000,93,100,0,0,72,79,11,12,0,0,9,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1523129706.200000,98,95,0,0,66,63,18,17,0,0,12,12,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0
1523129706.250000,104,105,0,0,85,86,14,14,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523129706.300000,112,116,0,0,99,103,8,9,0,0,3,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1523129706.350000,110,110,0,0,93,93,12,11,0,0,3,3,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0
1523129706.400000,125,124,0,0,109,108,7,8,0,0,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523129706.450000,118,115,0,0,99,96,11,11,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523129706.500000,112,113,0,0,88,89,12,12,0,0,11,11,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1523129706.550000,114,117,0,0,96,99,13,12,0,0,4,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1523129706.600000,85,69,0,0,83,67,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523129706.650000,122,113,0,0,120,111,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523129706.700000,115,127,0,0,110,122,2,3,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523129706.750000,110,121,0,0,92,104,10,8,0,0,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523129706.800000,117,118,0,0,106,106,9,11,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1523129706.850000,104,102,0,0,81,79,14,14,0,0,7,6,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0
1523129706.900000,121,120,0,0,114,112,5,5,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523129706.950000,135,138,0,0,120,124,6,5,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523129707.000000,122,110,0,0,108,95,9,10,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523129707.050000,109,124,0,0,102,117,4,4,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523129707.100000,117,113,0,0,102,99,9,8,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523129707.150000,136,130,0,0,131,125,4,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1523129707.200000,115,121,0,0,105,111,8,7,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
1523129707.250000,112,110,0,0,102,100,5,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523129707.300000,126,129,0,0,113,116,6,7,0,0,6,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1523129707.350000,106,104,0,0,94,92,7,6,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523129707.400000,122,119,0,0,113,110,5,5,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523129707.450000,65,65,0,0,63,63,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523129707.500000,85,92,0,0,57,63,19,19,0,0,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523129707.550000,123,120,0,0,112,110,9,8,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523129707.600000,131,134,0,0,122,125,7,7,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1523129707.650000,91,92,0,0,70,70,10,11,0,0,9,9,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
1523129707.700000,120,115,0,0,106,102,12,11,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
