date_time,total_http,StoriesOfTheDay_http,Browse_http,BrowseCategories_http,BrowseStoriesByCategory_http,BrowseStoriesInCategory_http,OlderStories_http,ViewStory_http,ViewComment_http,Search_http,SearchInStories_http,SearchInComments_http,SearchInUsers_http,jpg_http,html_http,total_http_out_rs,StoriesOfTheDay_http_out_rs,Browse_http_out_rs,BrowseCategories_http_out_rs,BrowseStoriesByCategory_http_out_rs,BrowseStoriesInCategory_http_out_rs,OlderStories_http_out_rs,ViewStory_http_out_rs,ViewComment_http_out_rs,Search_http_out_rs,SearchInStories_http_out_rs,SearchInComments_http_out_rs,SearchInUsers_http_out_rs,jpg_http_out_rs,html_http_out_rs
1523130470.000000,0.093277,0.132667,0.000000,0.000000,0.000000,0.000000,0.000000,0.096762,0.086773,0.045000,0.000000,0.000000,0.000000,0.000000,0.000000,0.068630,0.041000,0.000000,0.000000,0.055000,0.000000,0.041000,0.065000,0.075227,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1523130470.050000,0.095950,0.048375,0.000000,0.000000,0.007000,0.000000,0.047000,0.112047,0.089458,0.090000,0.000000,0.000000,0.000000,0.000000,0.000000,0.072787,0.059667,0.000000,0.000000,0.007000,0.000000,0.000000,0.078674,0.069259,0.068333,0.000000,0.000000,0.000000,0.000000,0.000000
1523130470.100000,0.049164,0.042400,0.000000,0.000000,0.000000,0.000000,0.035000,0.052091,0.044905,0.072000,0.000000,0.000000,0.000000,0.000000,0.000000,0.086529,0.084900,0.000000,0.000000,0.000000,0.000000,0.090750,0.097455,0.065120,0.113500,0.000000,0.000000,0.000000,0.000000,0.000000
1523130470.150000,0.041260,0.040857,0.000000,0.000000,0.000000,0.000000,0.022200,0.046527,0.036560,0.022750,0.000000,0.000000,0.000000,0.000000,0.000000,0.077585,0.069200,0.000000,0.000000,0.000000,0.000000,0.027000,0.066268,0.081094,0.363667,0.000000,0.000000,0.000000,0.000000,0.000000
1523130470.200000,0.068049,0.065200,0.000000,0.000000,0.035000,0.000000,0.078500,0.067180,0.069000,0.080750,0.000000,0.000000,0.000000,0.000000,0.000000,0.073337,0.099500,0.000000,0.000000,0.000000,0.000000,0.042000,0.077939,0.065818,0.040000,0.000000,0.000000,0.000000,0.000000,0.000000
1523130470.250000,0.079823,0.072000,0.000000,0.088000,0.000000,0.000000,0.067000,0.084660,0.067100,0.096000,0.000000,0.000000,0.000000,0.000000,0.000000,0.080548,0.061833,0.000000,0.000000,0.035000,0.000000,0.045000,0.081500,0.082913,0.111000,0.000000,0.000000,0.000000,0.000000,0.000000
1523130470.300000,0.085041,0.071000,0.000000,0.000000,0.094000,0.000000,0.167000,0.090615,0.079333,0.037000,0.000000,0.000000,0.000000,0.000000,0.000000,0.078115,0.085000,0.000000,0.000000,0.000000,0.000000,0.089500,0.080925,0.065938,0.104500,0.000000,0.000000,0.000000,0.000000,0.000000
1523130470.350000,0.097632,0.099083,0.000000,0.097500,0.070500,0.000000,0.137000,0.106250,0.080190,0.066333,0.000000,0.000000,0.000000,0.000000,0.000000,0.096712,0.056125,0.000000,0.088000,0.000000,0.000000,0.000000,0.106907,0.092400,0.081250,0.000000,0.000000,0.000000,0.000000,0.000000
1523130470.400000,0.067030,0.058625,0.000000,0.000000,0.000000,0.000000,0.000000,0.074643,0.058698,0.084667,0.000000,0.000000,0.000000,0.000000,0.000000,0.056131,0.065600,0.000000,0.000000,0.050000,0.000000,0.000000,0.059884,0.052949,0.032200,0.000000,0.000000,0.000000,0.000000,0.000000
1523130470.450000,0.130582,0.085600,0.000000,0.179000,0.000000,0.000000,0.136000,0.093564,0.091464,1.030333,0.000000,0.000000,0.000000,0.000000,0.000000,0.083247,0.083111,0.000000,0.097500,0.000000,0.000000,0.138000,0.088947,0.069120,0.083000,0.000000,0.000000,0.000000,0.000000,0.000000
1523130470.500000,0.082077,0.068214,0.000000,0.096500,0.076000,0.000000,0.084500,0.086286,0.080643,0.118000,0.000000,0.000000,0.000000,0.000000,0.000000,0.084636,0.070500,0.000000,0.000000,0.135000,0.000000,0.119333,0.088452,0.080692,0.074000,0.000000,0.000000,0.000000,0.000000,0.000000
1523130470.550000,0.088383,0.073714,0.000000,0.000000,0.054500,0.000000,0.000000,0.090455,0.094056,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.096125,0.083000,0.000000,0.000000,0.054000,0.000000,0.050000,0.107303,0.087545,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1523130470.600000,0.089857,0.071600,0.000000,0.048000,0.066500,0.000000,0.047500,0.098750,0.094789,0.058667,0.000000,0.000000,0.000000,0.000000,0.000000,0.100157,0.084333,0.000000,0.124000,0.069000,0.000000,0.119000,0.090625,0.116069,0.118000,0.000000,0.000000,0.000000,0.000000,0.000000
1523130470.650000,0.084417,0.070167,0.000000,0.000000,0.032000,0.000000,0.063800,0.089182,0.102556,0.032000,0.000000,0.000000,0.000000,0.000000,0.000000,0.082259,0.077053,0.000000,0.048000,0.066500,0.000000,0.084667,0.093091,0.080312,0.038250,0.000000,0.000000,0.000000,0.000000,0.000000
1523130470.700000,0.102321,0.107417,0.000000,0.061500,0.089500,0.000000,0.000000,0.075714,0.068733,0.565750,0.000000,0.000000,0.000000,0.000000,0.000000,0.081595,0.050143,0.000000,0.000000,0.037000,0.000000,0.047000,0.086460,0.078429,0.137333,0.000000,0.000000,0.000000,0.000000,0.000000
1523130470.750000,0.069947,0.090250,0.000000,0.000000,0.122000,0.000000,0.032000,0.078721,0.046947,0.043667,0.000000,0.000000,0.000000,0.000000,0.000000,0.082296,0.038500,0.000000,0.061500,0.000000,0.000000,0.035500,0.097476,0.070947,0.026500,0.000000,0.000000,0.000000,0.000000,0.000000
1523130470.800000,0.087876,0.096000,0.000000,0.064000,0.057500,0.000000,0.042333,0.091824,0.089381,0.078750,0.000000,0.000000,0.000000,0.000000,0.000000,0.077011,0.087125,0.000000,0.000000,0.000000,0.000000,0.063500,0.077078,0.080182,0.043667,0.000000,0.000000,0.000000,0.000000,0.000000
1523130470.850000,0.098840,0.067000,0.000000,0.000000,0.000000,0.000000,0.103750,0.096977,0.112857,0.063333,0.000000,0.000000,0.000000,0.000000,0.000000,0.089295,0.131727,0.000000,0.031000,0.080500,0.000000,0.000000,0.075977,0.095947,0.117000,0.000000,0.000000,0.000000,0.000000,0.000000
1523130470.900000,0.092059,0.075167,0.000000,0.000000,0.204000,0.000000,0.028000,0.099237,0.083125,0.079333,0.000000,0.000000,0.000000,0.000000,0.000000,0.069569,0.093889,0.000000,0.097000,0.106500,0.000000,0.059500,0.070711,0.052539,0.052143,0.000000,0.000000,0.000000,0.000000,0.000000
1523130470.950000,0.079732,0.071200,0.000000,0.000000,0.000000,0.000000,0.107000,0.075256,0.085913,0.095667,0.000000,0.000000,0.000000,0.000000,0.000000,0.079000,0.028000,0.000000,0.000000,0.000000,0.000000,0.076500,0.088769,0.074136,0.046500,0.000000,0.000000,0.000000,0.000000,0.000000
1523130471.000000,0.070856,0.061643,0.000000,0.000000,0.000000,0.000000,0.009500,0.082755,0.058667,0.088000,0.000000,0.000000,0.000000,0.000000,0.000000,0.072167,0.067875,0.000000,0.000000,0.000000,0.000000,0.066750,0.076592,0.064903,0.088250,0.000000,0.000000,0.000000,0.000000,0.000000
1523130471.050000,0.071450,0.061250,0.000000,0.033000,0.023000,0.000000,0.000000,0.077841,0.074455,0.028000,0.000000,0.000000,0.000000,0.000000,0.000000,0.071646,0.070778,0.000000,0.000000,0.012000,0.000000,0.107000,0.081000,0.056455,0.017000,0.000000,0.000000,0.000000,0.000000,0.000000
1523130471.100000,0.087449,0.077222,0.000000,0.000000,0.108000,0.000000,0.053000,0.078194,0.113125,0.098000,0.000000,0.000000,0.000000,0.000000,0.000000,0.075915,0.068385,0.000000,0.033000,0.119000,0.000000,0.000000,0.068583,0.087308,0.104333,0.000000,0.000000,0.000000,0.000000,0.000000
