date_time,total_http_start,total_http_end,StoriesOfTheDay_http_start,StoriesOfTheDay_http_end,Browse_http_start,Browse_http_end,BrowseCategories_http_start,BrowseCategories_http_end,BrowseStoriesByCategory_http_start,BrowseStoriesByCategory_http_end,BrowseStoriesInCategory_http_start,BrowseStoriesInCategory_http_end,OlderStories_http_start,OlderStories_http_end,ViewStory_http_start,ViewStory_http_end,ViewComment_http_start,ViewComment_http_end,Search_http_start,Search_http_end,SearchInStories_http_start,SearchInStories_http_end,SearchInComments_http_start,SearchInComments_http_end,SearchInUsers_http_start,SearchInUsers_http_end,jpg_http_start,jpg_http_end,html_http_start,html_http_end
1523130470.000000,12,11,4,1,0,0,0,0,0,1,0,0,1,1,2,4,2,2,3,2,0,0,0,0,0,0,0,0,0,0
1523130470.050000,14,14,6,4,0,0,0,0,1,0,0,0,1,0,1,4,3,4,2,2,0,0,0,0,0,0,0,0,0,0
1523130470.100000,20,31,7,8,0,0,0,0,0,1,0,0,0,2,6,7,6,11,1,2,0,0,0,0,0,0,0,0,0,0
1523130470.150000,25,39,6,9,0,0,0,0,0,0,0,0,2,2,7,11,7,13,3,4,0,0,0,0,0,0,0,0,0,0
1523130470.200000,24,32,5,9,0,0,0,0,1,0,0,0,2,1,4,9,4,7,8,6,0,0,0,0,0,0,0,0,0,0
1523130470.250000,9,15,5,4,0,0,1,0,0,1,0,0,0,0,1,5,1,4,1,1,0,0,0,0,0,0,0,0,0,0
1523130470.300000,21,13,5,3,0,0,0,0,1,0,0,0,1,1,5,2,9,6,0,1,0,0,0,0,0,0,0,0,0,0
1523130470.350000,57,26,17,6,0,0,2,1,1,0,0,0,3,1,14,9,13,2,7,7,0,0,0,0,0,0,0,0,0,0
1523130470.400000,28,28,7,8,0,0,0,0,1,2,0,0,0,0,9,11,8,4,3,3,0,0,0,0,0,0,0,0,0,0
1523130470.450000,25,25,4,12,0,0,1,2,0,0,0,0,1,0,6,6,9,3,4,2,0,0,0,0,0,0,0,0,0,0
1523130470.500000,25,23,13,8,0,0,2,0,1,1,0,0,0,1,4,5,4,4,1,4,0,0,0,0,0,0,0,0,0,0
1523130470.550000,20,19,7,12,0,0,0,0,3,0,0,0,0,1,8,3,1,2,1,1,0,0,0,0,0,0,0,0,0,0
1523130470.600000,36,35,13,6,0,0,1,2,2,2,0,0,2,0,13,11,2,13,3,1,0,0,0,0,0,0,0,0,0,0
1523130470.650000,32,35,9,10,0,0,0,2,1,3,0,0,1,2,13,6,4,8,4,4,0,0,0,0,0,0,0,0,0,0
1523130470.700000,42,39,13,15,0,0,2,0,2,2,0,0,1,3,11,6,7,6,6,7,0,0,0,0,0,0,0,0,0,0
1523130470.750000,30,31,10,5,0,0,0,1,1,1,0,0,1,1,8,9,7,12,3,2,0,0,0,0,0,0,0,0,0,0
1523130470.800000,24,22,5,5,0,0,2,1,2,0,0,0,1,2,4,6,5,4,5,4,0,0,0,0,0,0,0,0,0,0
1523130470.850000,25,25,5,12,0,0,0,1,0,2,0,0,3,0,6,3,6,3,5,4,0,0,0,0,0,0,0,0,0,0
1523130470.900000,29,29,5,8,0,0,0,1,1,2,0,0,1,1,7,6,7,5,8,6,0,0,0,0,0,0,0,0,0,0
1523130470.950000,17,17,6,7,0,0,0,0,0,0,0,0,0,1,3,4,4,1,4,4,0,0,0,0,0,0,0,0,0,0
1523130471.000000,25,25,12,7,0,0,0,0,0,0,0,0,0,2,6,6,7,8,0,2,0,0,0,0,0,0,0,0,0,0
1523130471.050000,27,26,10,8,0,0,1,0,2,0,0,0,0,1,5,8,6,6,3,3,0,0,0,0,0,0,0,0,0,0
1523130471.100000,24,24,6,13,0,0,0,1,1,2,0,0,2,0,8,2,3,2,4,4,0,0,0,0,0,0,0,0,0,0
1523130471.150000,20,21,9,5,0,0,1,0,1,1,0,0,0,0,6,8,3,5,0,2,0,0,0,0,0,0,0,0,0,0
