date_time,total_http_start,total_http_end,StoriesOfTheDay_http_start,StoriesOfTheDay_http_end,BrowseCategories_http_start,BrowseCategories_http_end,BrowseStoriesByCategory_http_start,BrowseStoriesByCategory_http_end,OlderStories_http_start,OlderStories_http_end,ViewStory_http_start,ViewStory_http_end,SubmitStory_http_start,SubmitStory_http_end,StoreStory_http_start,StoreStory_http_end,ViewComment_http_start,ViewComment_http_end,PostComment_http_start,PostComment_http_end,StoreComment_http_start,StoreComment_http_end,ModerateComment_http_start,ModerateComment_http_end,StoreModeratorLog_http_start,StoreModeratorLog_http_end,ReviewStories_http_start,ReviewStories_http_end,AcceptStory_http_start,AcceptStory_http_end,RejectStory_http_start,RejectStory_http_end,Search_http_start,Search_http_end,RegisterUser_http_start,RegisterUser_http_end,Author_http_start,Author_http_end,jpg_http_start,jpg_http_end,html_http_start,html_http_end
1523131353.000000,56,57,15,15,2,2,2,1,4,3,15,11,0,0,1,0,2,6,4,4,1,3,0,0,1,0,0,0,0,0,0,1,8,9,1,1,0,1,0,0,0,0
1523131353.050000,62,67,16,16,1,1,2,3,1,3,8,11,4,4,2,2,4,3,5,5,8,9,1,1,0,0,1,1,0,0,1,0,8,7,0,1,0,0,0,0,0,0
1523131353.100000,56,63,16,17,2,1,2,2,2,2,11,11,3,2,3,5,3,3,3,3,3,8,0,0,0,0,0,0,0,1,0,0,7,7,1,1,0,0,0,0,0,0
1523131353.150000,61,57,17,15,0,1,5,2,2,1,10,9,2,3,2,2,6,5,5,5,2,4,0,0,1,0,1,1,1,1,0,1,6,7,0,0,1,0,0,0,0,0
1523131353.200000,71,64,13,8,1,1,6,8,2,3,15,13,2,2,3,2,5,7,2,2,6,4,2,1,0,0,1,0,0,1,1,0,11,11,1,0,0,1,0,0,0,0
1523131353.250000,56,63,12,21,1,1,2,2,2,2,17,16,1,0,0,1,4,3,3,2,5,3,0,1,0,0,0,1,0,0,0,0,8,8,1,2,0,0,0,0,0,0
1523131353.300000,72,57,13,10,3,3,4,5,3,1,19,16,2,2,2,0,6,2,6,7,6,5,0,0,0,0,1,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0
1523131353.350000,65,65,15,15,1,1,4,2,1,3,14,16,4,4,0,0,4,4,9,9,7,4,0,0,0,0,2,3,0,0,0,0,4,4,0,0,0,0,0,0,0,0
1523131353.400000,49,64,13,15,2,2,2,3,3,3,8,15,2,3,1,1,2,7,6,6,2,3,0,0,1,0,0,0,0,0,0,0,6,6,1,0,0,0,0,0,0,0
1523131353.450000,61,62,19,19,0,0,6,7,1,1,12,11,1,1,4,3,3,1,5,5,0,2,0,0,0,1,0,0,0,0,0,1,9,9,1,1,0,0,0,0,0,0
1523131353.500000,50,49,15,14,0,0,1,1,1,1,15,15,4,4,1,0,2,3,2,2,2,2,1,0,1,0,1,1,0,1,0,0,4,5,0,0,0,0,0,0,0,0
1523131353.550000,69,61,11,12,2,1,2,2,2,2,17,15,3,3,4,2,4,3,7,7,4,2,0,1,0,0,3,3,1,0,0,0,7,6,1,1,1,1,0,0,0,0
1523131353.600000,61,51,10,9,1,2,2,2,0,0,17,15,1,0,1,3,6,4,6,6,6,3,0,0,0,0,1,0,0,0,0,0,7,7,2,0,1,0,0,0,0,0
1523131353.650000,53,60,7,8,0,0,3,3,5,4,15,18,2,3,1,1,2,6,5,5,4,1,0,0,2,3,0,1,0,0,0,1,4,5,3,0,0,1,0,0,0,0
1523131353.700000,63,64,13,11,2,2,4,2,3,3,12,13,5,5,3,2,2,1,7,7,3,7,0,0,0,0,0,0,0,1,1,0,8,8,0,2,0,0,0,0,0,0
1523131353.750000,60,66,15,17,3,3,1,3,2,3,12,14,4,3,4,2,2,3,7,7,5,7,0,0,0,0,0,0,0,0,1,1,3,3,1,0,0,0,0,0,0,0
1523131353.800000,59,55,24,21,1,1,2,2,2,2,11,6,3,4,1,1,4,3,2,2,3,7,0,0,0,1,1,1,0,0,1,0,3,3,1,1,0,0,0,0,0,0
1523131353.850000,52,54,14,17,1,0,3,2,1,1,10,13,1,1,2,3,3,2,4,4,3,1,0,0,0,1,1,1,0,0,0,0,8,7,1,1,0,0,0,0,0,0
1523131353.900000,77,46,15,9,3,4,4,3,2,1,14,4,4,3,1,1,7,3,9,9,7,4,0,0,1,0,0,0,0,0,0,0,7,5,3,0,0,0,0,0,0,0
