date_time,total_http,StoriesOfTheDay_http,BrowseCategories_http,BrowseStoriesByCategory_http,OlderStories_http,ViewStory_http,SubmitStory_http,StoreStory_http,ViewComment_http,PostComment_http,StoreComment_http,ModerateComment_http,StoreModeratorLog_http,ReviewStories_http,AcceptStory_http,RejectStory_http,Search_http,RegisterUser_http,Author_http,jpg_http,html_http,total_http_out_rs,StoriesOfTheDay_http_out_rs,BrowseCategories_http_out_rs,BrowseStoriesByCategory_http_out_rs,OlderStories_http_out_rs,ViewStory_http_out_rs,SubmitStory_http_out_rs,StoreStory_http_out_rs,ViewComment_http_out_rs,PostComment_http_out_rs,StoreComment_http_out_rs,ModerateComment_http_out_rs,StoreModeratorLog_http_out_rs,ReviewStories_http_out_rs,AcceptStory_http_out_rs,RejectStory_http_out_rs,Search_http_out_rs,RegisterUser_http_out_rs,Author_http_out_rs,jpg_http_out_rs,html_http_out_rs
1523133172.000000,0.185068,0.013083,0.018500,0.005000,0.028000,0.058000,0.019000,0.477000,0.025750,0.005000,1.981250,0.000000,0.000000,0.018000,0.000000,0.000000,0.010600,0.486000,0.000000,0.000000,0.000000,0.014543,0.013650,0.018500,0.005000,0.027000,0.018429,0.013000,0.000000,0.018200,0.005000,0.000000,0.000000,0.000000,0.018000,0.000000,0.000000,0.010600,0.000000,0.000000,0.000000,0.000000
1523133172.050000,0.144686,0.017353,0.020333,0.000000,0.016500,0.053789,0.020000,0.534000,0.056000,0.001600,2.171000,0.008000,0.553000,0.000000,0.000000,0.000000,0.013750,0.541000,0.000000,0.000000,0.000000,0.038392,0.010889,0.008500,0.000000,0.019000,0.034500,0.015333,0.242000,0.037750,0.001600,0.481500,0.008000,0.000000,0.000000,0.000000,0.000000,0.006250,0.000000,0.000000,0.000000,0.000000
1523133172.100000,0.043857,0.012250,0.010000,0.008000,0.000000,0.045143,0.000000,0.531000,0.050000,0.001000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.014000,0.000000,0.000000,0.000000,0.000000,0.112324,0.019333,0.027000,0.006000,0.000000,0.054083,0.032500,0.000000,0.053500,0.001000,2.687000,0.000000,0.000000,0.000000,0.000000,0.000000,0.019000,0.000000,0.000000,0.000000,0.000000
1523133172.150000,0.025545,0.011920,0.006000,0.000000,0.035000,0.079143,0.009000,0.000000,0.056000,0.001667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.000000,0.000000,0.000000,0.000000,0.041519,0.012800,0.006000,0.010000,0.000000,0.052364,0.009000,0.295000,0.055429,0.001667,0.594000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,0.000000,0.000000,0.000000,0.000000
1523133172.200000,0.031333,0.006923,0.000000,0.000000,0.014000,0.020000,0.004000,0.413000,0.144000,0.004500,0.000000,0.000000,0.000000,0.003000,0.000000,0.000000,0.015000,0.000000,0.000000,0.000000,0.000000,0.046778,0.008182,0.000000,0.000000,0.024500,0.062667,0.004000,0.000000,0.091000,0.004500,0.602000,0.000000,0.000000,0.003000,0.000000,0.000000,0.019500,0.000000,0.000000,0.000000,0.000000
1523133172.250000,0.283034,0.012048,0.004000,0.012000,0.004000,0.029286,0.000000,0.407000,0.030250,0.000800,2.012143,0.024000,0.000000,0.000000,0.000000,0.000000,0.009000,0.415000,0.008000,0.000000,0.000000,0.069864,0.010048,0.004000,0.012000,0.004000,0.043400,0.000000,0.000000,0.038000,0.000800,0.630750,0.011000,0.000000,0.000000,0.000000,0.000000,0.002000,0.000000,0.008000,0.000000,0.000000
1523133172.300000,0.184631,0.012818,0.019500,0.009333,0.008000,0.057182,0.000000,0.544000,0.034333,0.002200,2.037750,0.000000,0.000000,0.036000,0.000000,0.000000,0.005333,0.489000,0.009000,0.000000,0.000000,0.045667,0.013429,0.019500,0.009333,0.009000,0.044125,0.000000,0.000000,0.055400,0.002200,0.735000,0.037000,0.000000,0.036000,0.000000,0.000000,0.007429,0.000000,0.009000,0.000000,0.000000
1523133172.350000,0.156000,0.010067,0.026000,0.000000,0.009000,0.039556,0.007000,0.000000,0.036600,0.000667,2.209000,0.014000,0.000000,0.000000,2.213000,0.000000,0.003667,0.610000,0.000000,0.000000,0.000000,0.034357,0.012000,0.000000,0.000000,0.008333,0.041889,0.007000,0.000000,0.032667,0.000667,0.693000,0.014000,0.000000,0.000000,0.000000,0.000000,0.005750,0.000000,0.000000,0.000000,0.000000
1523133172.400000,0.018306,0.009900,0.022000,0.000000,0.000000,0.035857,0.003000,0.000000,0.028875,0.002000,0.000000,0.000000,0.000000,0.007000,0.000000,0.000000,0.006500,0.000000,0.005000,0.000000,0.000000,0.044054,0.008636,0.026000,0.000000,0.000000,0.046333,0.003000,0.000000,0.028714,0.002000,0.870000,0.000000,0.000000,0.007000,0.000000,0.000000,0.001000,0.000000,0.005000,0.000000,0.000000
1523133172.450000,0.490867,0.009133,0.016000,0.006000,0.006000,0.017667,0.032000,0.927000,0.017750,0.000000,2.341714,0.000000,0.000000,0.000000,0.000000,0.000000,0.007500,0.667000,0.000000,0.000000,0.000000,0.059814,0.009778,0.019000,0.006000,0.006000,0.051583,0.032000,0.486000,0.029778,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012500,0.486500,0.000000,0.000000,0.000000
