date_time,total_http,StoriesOfTheDay_http,Browse_http,BrowseCategories_http,BrowseStoriesByCategory_http,BrowseStoriesInCategory_http,OlderStories_http,ViewStory_http,ViewComment_http,Search_http,SearchInStories_http,SearchInComments_http,SearchInUsers_http,jpg_http,html_http,http_total_longReq,http_adjustLoad
1523127543.000000,288.260002,5.359997,0.000000,0.000000,1.560001,0.000000,0.879997,250.160000,27.240005,3.060001,0.000000,0.000000,0.000000,0.000000,0.000000,170.299995,117.960007
1523127543.050000,295.719988,5.019999,0.000000,0.000000,1.560001,0.000000,2.100002,246.560001,33.899986,6.579998,0.000000,0.000000,0.000000,0.000000,0.000000,169.900002,125.819986
1523127543.100000,298.720009,6.260002,0.000000,0.459999,0.740002,0.000000,4.000000,244.700005,36.039997,6.520004,0.000000,0.000000,0.000000,0.000000,0.000000,170.000000,128.720009
1523127543.150000,298.160005,6.240005,0.000000,0.720001,1.420000,0.000000,3.220001,244.559994,36.580006,5.419998,0.000000,0.000000,0.000000,0.000000,0.000000,170.139999,128.020005
1523127543.200000,298.339975,5.999990,0.000000,0.000000,2.480000,0.000000,2.000000,246.700001,37.819988,3.339996,0.000000,0.000000,0.000000,0.000000,0.000000,170.880001,127.459974
1523127543.250000,298.599998,8.140003,0.000000,0.000000,1.859997,0.000000,2.000000,248.259998,36.299999,2.040001,0.000000,0.000000,0.000000,0.000000,0.000000,168.900002,129.699997
1523127543.300000,297.460000,12.339987,0.000000,1.040001,1.680004,0.000000,0.420002,243.879997,36.900005,1.200004,0.000000,0.000000,0.000000,0.000000,0.000000,168.000000,129.460000
1523127543.350000,297.979992,12.259996,0.000000,1.820000,1.239998,0.000000,0.000000,238.939991,39.600002,4.120005,0.000000,0.000000,0.000000,0.000000,0.000000,166.939999,131.039993
1523127543.400000,297.639994,7.380005,0.000000,0.000000,1.400002,0.000000,0.000000,242.239994,41.159996,5.459997,0.000000,0.000000,0.000000,0.000000,0.000000,166.900002,130.739992
1523127543.450000,296.960005,8.379995,0.000000,0.000000,1.920002,0.000000,0.040001,244.040016,36.239994,6.339996,0.000000,0.000000,0.000000,0.000000,0.000000,168.000000,128.960005
1523127543.500000,297.660013,7.980003,0.000000,0.419998,2.340004,0.000000,2.580002,244.640003,33.399998,6.300005,0.000000,0.000000,0.000000,0.000000,0.000000,166.980000,130.680014
1523127543.550000,298.500001,7.020000,0.000000,0.000000,0.620003,0.000000,2.760002,242.220001,39.659996,6.219998,0.000000,0.000000,0.000000,0.000000,0.000000,166.000000,132.500001
