date_time,total_http_start,total_http_end,StoriesOfTheDay_http_start,StoriesOfTheDay_http_end,Browse_http_start,Browse_http_end,BrowseCategories_http_start,BrowseCategories_http_end,BrowseStoriesByCategory_http_start,BrowseStoriesByCategory_http_end,BrowseStoriesInCategory_http_start,BrowseStoriesInCategory_http_end,OlderStories_http_start,OlderStories_http_end,ViewStory_http_start,ViewStory_http_end,ViewComment_http_start,ViewComment_http_end,Search_http_start,Search_http_end,SearchInStories_http_start,SearchInStories_http_end,SearchInComments_http_start,SearchInComments_http_end,SearchInUsers_http_start,SearchInUsers_http_end,jpg_http_start,jpg_http_end,html_http_start,html_http_end
1523128992.000000,7,22,1,2,0,0,0,1,0,0,0,0,0,2,2,7,2,4,1,5,0,0,0,0,0,0,0,0,1,1
1523128992.050000,10,6,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,2,3,2,0,0,0,0,0,0,0,0,1,0
1523128992.100000,9,11,2,2,0,0,0,0,0,1,0,0,1,0,2,2,1,5,2,1,0,0,0,0,0,0,0,0,1,0
1523128992.150000,15,9,2,2,0,0,0,0,0,1,0,0,1,0,6,0,3,2,2,3,0,0,0,0,0,0,0,0,1,1
1523128992.200000,10,17,2,5,0,0,0,0,1,3,0,0,1,0,3,2,3,3,0,1,0,0,0,0,0,0,0,0,0,3
1523128992.250000,17,11,5,4,0,0,0,1,2,0,0,0,0,1,4,0,4,2,1,2,0,0,0,0,0,0,0,0,1,1
1523128992.300000,12,11,4,2,0,0,0,0,0,0,0,0,0,0,2,2,3,4,1,2,0,0,0,0,0,0,0,0,2,1
1523128992.350000,12,14,2,3,0,0,0,0,0,1,0,0,0,0,2,4,3,3,4,3,0,0,0,0,0,0,0,0,1,0
1523128992.400000,13,10,3,2,0,0,0,1,0,0,0,0,1,3,3,1,4,2,1,1,0,0,0,0,0,0,0,0,1,0
1523128992.450000,10,19,3,8,0,0,0,0,0,1,0,0,0,1,1,7,4,0,1,1,0,0,0,0,0,0,0,0,1,1
1523128992.500000,20,15,4,4,0,0,0,0,1,1,0,0,0,0,8,3,2,4,5,2,0,0,0,0,0,0,0,0,0,1
1523128992.550000,6,16,1,3,0,0,0,0,0,1,0,0,0,0,2,3,1,6,2,3,0,0,0,0,0,0,0,0,0,0
1523128992.600000,5,3,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
1523128992.650000,11,16,4,6,0,0,0,0,1,0,0,0,0,0,3,3,1,6,1,0,0,0,0,0,0,0,0,0,1,1
1523128992.700000,18,17,8,3,0,0,0,1,0,1,0,0,0,0,5,4,1,7,1,0,0,0,0,0,0,0,0,0,3,1
1523128992.750000,15,14,2,3,0,0,2,0,2,0,0,0,0,2,5,5,3,2,1,1,0,0,0,0,0,0,0,0,0,1
1523128992.800000,16,6,7,0,0,0,0,0,0,1,0,0,0,0,1,2,4,0,3,3,0,0,0,0,0,0,0,0,1,0
1523128992.850000,5,15,5,2,0,0,0,1,0,1,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,3
1523128992.900000,13,36,3,14,0,0,0,0,1,1,0,0,0,2,2,3,4,10,2,2,0,0,0,0,0,0,0,0,1,4
1523128992.950000,16,8,5,2,0,0,0,0,0,0,0,0,1,1,1,1,5,0,4,4,0,0,0,0,0,0,0,0,0,0
1523128993.000000,10,8,3,2,0,0,0,1,1,0,0,0,1,0,0,1,2,3,2,1,0,0,0,0,0,0,0,0,1,0
1523128993.050000,13,13,1,6,0,0,0,0,1,0,0,0,0,0,3,1,5,2,2,4,0,0,0,0,0,0,0,0,1,0
1523128993.100000,8,20,1,7,0,0,1,1,0,0,0,0,0,0,1,8,3,2,1,1,0,0,0,0,0,0,0,0,1,1
1523128993.150000,12,13,3,4,0,0,0,1,1,0,0,0,1,0,3,3,2,4,1,1,0,0,0,0,0,0,0,0,1,0
1523128993.200000,14,13,2,4,0,0,1,0,1,0,0,0,0,1,5,3,3,3,2,2,0,0,0,0,0,0,0,0,0,0
1523128993.250000,18,11,4,3,0,0,0,0,0,0,0,0,1,0,6,4,4,1,1,3,0,0,0,0,0,0,0,0,2,0
1523128993.300000,13,14,1,3,0,0,1,0,1,0,0,0,1,0,2,3,5,7,2,1,0,0,0,0,0,0,0,0,0,0
1523128993.350000,10,14,1,4,0,0,0,0,1,0,0,0,0,1,4,3,3,0,1,3,0,0,0,0,0,0,0,0,0,3
1523128993.400000,9,17,1,3,0,0,0,0,0,3,0,0,0,0,3,4,3,3,1,3,0,0,0,0,0,0,0,0,1,1
