date_time,total_http,StoriesOfTheDay_http,BrowseCategories_http,BrowseStoriesByCategory_http,OlderStories_http,ViewStory_http,SubmitStory_http,StoreStory_http,ViewComment_http,PostComment_http,StoreComment_http,ModerateComment_http,StoreModeratorLog_http,ReviewStories_http,AcceptStory_http,RejectStory_http,Search_http,RegisterUser_http,Author_http,jpg_http,html_http,http_total_longReq,http_adjustLoad
1523129704.000000,493.539997,286.080006,3.000000,6.000000,1.980000,27.139984,3.000000,14.939999,10.640003,3.980003,94.440002,1.000000,5.359997,0.000000,3.000000,4.000000,16.139999,5.840004,0.000000,0.000000,7.000000,355.000000,138.539997
1523129704.050000,508.199993,288.459999,3.560001,5.560001,2.939995,32.360004,3.480000,13.059998,10.959999,6.239998,98.260002,1.000000,5.000000,0.260002,2.360001,4.000000,18.219994,5.000000,0.000000,0.000000,7.480000,355.940002,152.259991
1523129704.100000,525.399998,289.659996,4.000000,5.800003,5.099995,38.280006,3.539997,14.380005,12.680000,7.140003,100.799995,1.000000,5.000000,1.000000,2.000000,4.000000,18.820000,4.199997,0.000000,0.000000,8.000000,356.379997,169.020000
1523129704.150000,527.600006,290.100002,4.000000,6.639999,7.580002,36.979996,4.000000,14.019997,10.639996,8.280003,101.300003,1.000000,4.460003,1.000000,2.320000,4.000000,19.280006,4.000000,0.000000,0.000000,8.000000,358.600002,169.000004
1523129704.200000,519.079983,289.420006,3.299999,8.379997,6.600002,35.519997,4.459999,12.079998,9.639999,6.179996,101.899998,1.000000,4.359997,0.239998,3.000000,4.000000,17.340004,4.000000,0.000000,0.000000,7.659992,359.159996,159.919987
1523129704.250000,523.680023,290.540001,4.040005,8.280006,7.000000,34.940010,4.000000,13.500000,10.360001,6.380001,102.580002,1.000000,5.000000,0.000000,3.099998,3.440002,17.379997,4.000000,0.139999,0.000000,8.000000,360.559998,163.120026
1523129704.300000,536.300011,290.739998,5.180000,8.379997,6.180000,34.780006,3.500000,14.000000,12.279999,8.480003,104.639999,1.460003,5.000000,0.040001,4.000000,3.740002,21.060001,3.440002,1.000000,0.000000,8.399998,363.660000,172.640011
1523129704.350000,545.699989,290.859993,7.000000,7.740002,5.000000,37.240005,5.580002,13.459995,10.559994,10.980003,104.740002,2.000000,5.000000,1.000000,3.519997,4.000000,22.660000,2.680000,1.000000,0.000000,10.679996,366.759998,178.939991
1523129704.400000,550.520008,291.639999,8.060001,7.860001,5.000000,40.220005,6.759998,14.180000,10.979992,10.420006,103.880005,2.000000,5.000000,1.000000,3.000000,3.500000,21.740002,1.360001,1.000000,0.000000,12.919998,368.140003,182.380005
1523129704.450000,552.300018,295.200001,8.000000,6.000000,6.000004,42.340015,7.000000,15.000000,12.660004,7.660000,104.799995,2.000000,5.000000,1.340000,3.000000,3.000000,20.720001,0.000000,1.000000,0.000000,11.579998,366.559998,185.740021
1523129704.500000,545.760006,295.040001,6.020000,4.660000,8.619999,39.679993,8.320000,13.980003,13.840008,7.860001,103.520004,2.000000,5.000000,2.000000,3.000000,2.139999,19.699997,0.000000,1.660000,0.000000,8.720001,365.219997,180.540009
1523129704.550000,539.840000,298.019997,5.860001,4.800003,8.600002,34.359997,7.920002,12.660000,11.780003,7.819992,102.840000,2.000000,5.000000,1.599998,3.000000,2.000000,21.840004,0.000000,2.000000,0.000000,7.740002,364.820000,175.020000
1523129704.600000,538.699982,297.700001,6.000000,6.519993,7.159996,32.580002,7.959995,12.000000,9.160000,8.739998,102.299995,1.140003,5.000000,1.880001,3.000000,2.000000,25.599995,0.000000,1.340004,0.000000,8.619999,364.499996,174.199986
1523129704.650000,537.959999,297.619995,5.599998,6.500004,7.000000,33.540001,7.980000,10.760002,9.039993,9.840000,98.680004,1.000000,4.759998,1.220001,3.000000,2.000000,27.740002,0.939999,1.000000,0.000000,9.740002,364.800003,173.159996
1523129704.700000,544.480011,299.820004,6.459999,5.619999,8.059998,38.680000,8.060005,9.000000,12.460003,9.139999,97.799999,1.000000,4.000000,0.419998,3.000000,2.000000,26.480007,2.540001,1.779999,0.000000,8.160000,362.299995,182.180016
1523129704.750000,543.659985,302.099987,9.319996,5.000000,10.000000,38.659992,6.360001,8.100002,11.459995,8.639999,97.860001,1.000000,4.000000,0.400002,3.000000,2.000000,22.100002,3.000000,2.640003,0.000000,8.020004,362.239998,181.419987
1523129704.800000,542.020008,304.519997,8.100002,5.000000,8.900002,39.660004,4.739998,7.759998,8.840004,7.880001,98.920006,1.000000,3.139999,1.000000,3.000000,2.000000,21.880001,3.880001,2.119999,0.000000,9.679996,362.360001,179.660007
1523129704.850000,544.620010,304.139996,5.000000,5.660000,8.000000,38.600014,4.740002,11.139996,9.840004,7.639999,100.820000,1.000000,3.560001,1.459999,3.000000,2.000000,21.880005,4.000000,1.000000,0.000000,11.139996,363.079994,181.540016
1523129704.900000,539.720013,298.599998,5.100002,6.720001,8.739998,36.340008,5.000000,12.560001,8.919998,9.000000,101.000000,1.000000,4.000000,1.380001,3.000000,1.080002,19.600002,4.919998,1.000000,0.000000,11.760002,365.320004,174.400009
1523129704.950000,539.580021,294.959999,5.500000,7.919998,9.000000,36.580009,5.000000,12.740002,9.639999,9.500004,100.900005,1.000000,4.000000,1.360001,3.000000,1.000000,20.300003,5.000000,1.000000,0.000000,11.180000,366.000000,173.580021
1523129705.000000,540.220024,299.540005,5.860001,8.459999,9.020000,35.500004,5.000000,12.960003,8.280003,11.320004,98.639996,1.000000,3.240002,0.919998,3.000000,1.000000,20.780010,5.000000,1.000000,0.000000,9.700001,366.000000,174.220024
1523129705.050000,535.640011,299.760002,4.599998,8.840000,10.000000,33.240002,5.840000,12.740002,8.420002,11.880005,96.599998,1.000000,3.000000,1.000000,3.000000,1.000000,19.680004,5.000000,1.000000,0.000000,9.039997,366.699997,168.940014
1523129705.100000,530.260014,298.339996,4.000000,7.360001,9.579998,29.300011,7.000000,13.000000,7.520004,12.020000,96.720001,1.000000,3.000000,0.560001,2.619995,1.000000,20.320004,5.380001,1.000000,0.000000,10.540001,366.079998,164.180016
1523129705.150000,535.079998,300.180000,3.920002,5.060001,11.099998,30.459995,7.740002,14.039997,7.059998,11.360004,97.440002,1.000000,3.000000,0.000000,3.000000,1.000000,21.500000,4.800003,1.959999,0.000000,10.459995,364.960003,170.119995
1523129705.200000,542.199986,306.819992,3.700001,5.359997,10.799999,31.320004,6.039997,15.000000,8.060001,13.299999,96.779999,1.000000,3.000000,0.000000,3.000000,1.000000,21.619995,3.139999,2.000000,0.000000,10.260002,365.239998,176.959988
1523129705.250000,546.420006,311.320011,4.000000,7.459999,7.000000,32.559990,5.920002,14.939999,8.680000,12.720005,94.040001,1.000000,3.580002,0.000000,3.000000,1.000000,23.600002,3.419998,1.520000,0.000000,10.659996,365.000000,181.420006
1523129705.300000,531.020004,304.400013,3.259998,6.879997,6.420002,33.899990,6.000000,11.420006,8.259998,9.600002,94.839996,1.000000,4.000000,0.000000,3.000000,0.020004,23.000000,4.559998,1.000000,0.000000,9.459999,365.799999,165.220005
1523129705.350000,517.000000,299.619999,2.059998,4.780003,6.000000,33.239994,4.440002,11.980000,8.139999,8.440002,94.259998,1.000000,4.000000,0.000000,2.160000,0.000000,21.380001,5.000000,1.140003,0.000000,9.360001,366.000000,151.000000
1523129705.400000,531.940010,300.900009,2.000000,4.000000,6.199997,37.400002,5.000000,12.000000,12.020008,9.040001,95.900002,1.000000,4.000000,0.000000,2.000000,0.000000,24.219997,4.839996,2.000000,0.000000,9.419998,366.419998,165.520012
1523129705.450000,535.059998,301.319996,1.720001,4.000000,5.520000,36.459984,5.060001,12.000000,13.599995,9.100002,95.900002,1.260002,4.000000,0.000000,2.000000,0.000000,26.520008,4.000000,2.000000,0.000000,10.600006,365.780003,169.279995
