date_time,total_http_start,total_http_end,StoriesOfTheDay_http_start,StoriesOfTheDay_http_end,BrowseCategories_http_start,BrowseCategories_http_end,BrowseStoriesByCategory_http_start,BrowseStoriesByCategory_http_end,OlderStories_http_start,OlderStories_http_end,ViewStory_http_start,ViewStory_http_end,SubmitStory_http_start,SubmitStory_http_end,StoreStory_http_start,StoreStory_http_end,ViewComment_http_start,ViewComment_http_end,PostComment_http_start,PostComment_http_end,StoreComment_http_start,StoreComment_http_end,ModerateComment_http_start,ModerateComment_http_end,StoreModeratorLog_http_start,StoreModeratorLog_http_end,ReviewStories_http_start,ReviewStories_http_end,AcceptStory_http_start,AcceptStory_http_end,RejectStory_http_start,RejectStory_http_end,Search_http_start,Search_http_end,RegisterUser_http_start,RegisterUser_http_end,Author_http_start,Author_http_end,jpg_http_start,jpg_http_end,html_http_start,html_http_end
1523131353.000000,121,128,14,17,1,2,3,3,8,10,55,52,1,0,2,1,9,12,0,0,11,11,0,0,6,5,0,0,0,0,0,1,9,12,2,1,0,1,0,0,0,0
1523131353.050000,101,109,13,15,1,1,2,2,2,2,26,30,3,4,4,5,11,11,0,0,23,23,2,2,0,0,1,1,1,1,2,1,9,9,1,2,0,0,0,0,0,0
1523131353.100000,105,109,17,16,2,2,1,1,3,4,35,35,3,3,6,9,9,8,0,0,18,18,0,0,0,0,1,1,0,1,0,1,7,7,3,3,0,0,0,0,0,0
1523131353.150000,127,117,17,17,1,0,6,4,7,5,32,32,2,2,5,3,23,23,0,0,9,9,0,0,11,10,0,0,2,2,2,1,9,8,0,0,1,1,0,0,0,0
1523131353.200000,121,121,18,15,0,1,6,8,3,4,51,48,2,2,5,4,14,16,0,0,8,8,4,4,0,0,1,1,0,1,0,0,7,8,2,1,0,0,0,0,0,0
1523131353.250000,113,117,6,10,2,1,1,1,4,5,58,58,1,1,2,2,12,11,0,0,16,16,0,0,0,0,0,0,1,1,0,0,6,6,4,5,0,0,0,0,0,0
1523131353.300000,129,113,16,12,3,4,5,4,3,1,57,51,2,2,2,1,18,17,0,0,15,15,0,0,0,0,2,1,0,0,0,0,6,5,0,0,0,0,0,0,0,0
1523131353.350000,113,119,13,16,0,0,3,3,3,5,59,62,4,4,0,1,10,6,0,0,15,15,0,0,0,0,1,2,0,0,0,0,5,5,0,0,0,0,0,0,0,0
1523131353.400000,107,112,17,13,2,2,2,3,6,6,37,43,2,2,2,1,16,21,0,0,5,5,0,0,8,8,0,0,0,0,0,0,6,6,4,2,0,0,0,0,0,0
1523131353.450000,103,103,15,19,0,0,7,6,3,2,43,41,3,1,8,7,6,7,0,0,11,11,0,0,0,0,0,0,0,0,0,1,6,6,1,2,0,0,0,0,0,0
1523131353.500000,106,106,15,15,1,1,1,2,1,2,53,51,3,5,4,3,6,6,0,0,10,10,2,2,5,4,2,2,0,1,0,0,1,1,2,1,0,0,0,0,0,0
1523131353.550000,115,115,12,11,1,1,2,2,4,4,53,55,2,2,6,5,13,12,0,0,10,10,0,0,0,0,2,2,2,1,0,0,6,7,1,2,1,1,0,0,0,0
