date_time,total_http_start,total_http_end,StoriesOfTheDay_http_start,StoriesOfTheDay_http_end,Browse_http_start,Browse_http_end,BrowseCategories_http_start,BrowseCategories_http_end,BrowseStoriesByCategory_http_start,BrowseStoriesByCategory_http_end,BrowseStoriesInCategory_http_start,BrowseStoriesInCategory_http_end,OlderStories_http_start,OlderStories_http_end,ViewStory_http_start,ViewStory_http_end,ViewComment_http_start,ViewComment_http_end,Search_http_start,Search_http_end,SearchInStories_http_start,SearchInStories_http_end,SearchInComments_http_start,SearchInComments_http_end,SearchInUsers_http_start,SearchInUsers_http_end,jpg_http_start,jpg_http_end,html_http_start,html_http_end
1541027730.000000,6,5,3,3,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1541027730.050000,8,8,3,3,0,0,0,0,0,0,0,0,0,0,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1541027730.100000,6,7,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,2,0,0,0,0,0,0,0,0,0,0
1541027730.150000,7,6,1,1,0,0,0,0,0,0,0,0,0,0,3,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0
1541027730.200000,6,5,2,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1541027730.250000,14,15,1,2,0,0,0,0,1,0,0,0,0,0,5,6,4,4,3,3,0,0,0,0,0,0,0,0,0,0
1541027730.300000,9,10,3,3,0,0,1,1,0,1,0,0,0,0,1,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0
1541027730.350000,8,6,3,2,0,0,0,0,0,0,0,0,0,0,2,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0
1541027730.400000,3,4,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1541027730.450000,7,8,3,4,0,0,0,0,1,1,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0
1541027730.500000,6,6,2,2,0,0,0,0,0,0,0,0,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0
1541027730.550000,9,7,3,3,0,0,0,0,0,0,0,0,0,0,1,1,3,1,2,2,0,0,0,0,0,0,0,0,0,0
1541027730.600000,9,11,5,5,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,2,0,0,0,0,0,0,0,0,0,0
1541027730.650000,7,7,2,2,0,0,0,0,2,2,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0
1541027730.700000,5,5,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
1541027730.750000,7,7,3,3,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
1541027730.800000,4,4,2,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1541027730.850000,6,6,2,2,0,0,0,0,0,0,0,0,0,0,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0
1541027730.900000,8,7,0,0,0,0,1,1,0,0,0,0,0,0,4,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0
1541027730.950000,6,5,3,2,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0
1541027731.000000,6,7,0,1,0,0,0,0,0,0,0,0,0,0,3,3,1,1,2,2,0,0,0,0,0,0,0,0,0,0
1541027731.050000,8,8,1,0,0,0,0,0,1,1,0,0,1,1,4,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1541027731.100000,7,6,4,4,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
1541027731.150000,9,10,3,3,0,0,0,0,1,1,0,0,1,1,1,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0
