date_time,total_http,StoriesOfTheDay_http,Browse_http,BrowseCategories_http,BrowseStoriesByCategory_http,BrowseStoriesInCategory_http,OlderStories_http,ViewStory_http,ViewComment_http,Search_http,SearchInStories_http,SearchInComments_http,SearchInUsers_http,jpg_http,html_http,total_http_out_rs,StoriesOfTheDay_http_out_rs,Browse_http_out_rs,BrowseCategories_http_out_rs,BrowseStoriesByCategory_http_out_rs,BrowseStoriesInCategory_http_out_rs,OlderStories_http_out_rs,ViewStory_http_out_rs,ViewComment_http_out_rs,Search_http_out_rs,SearchInStories_http_out_rs,SearchInComments_http_out_rs,SearchInUsers_http_out_rs,jpg_http_out_rs,html_http_out_rs
1538673349.000000,0.001875,0.003000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002000,0.001500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001917,0.003000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002111,0.001500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538673349.050000,0.002444,0.002667,0.000000,0.000000,0.000000,0.000000,0.000000,0.002750,0.000000,0.001500,0.000000,0.000000,0.000000,0.000000,0.000000,0.002300,0.002667,0.000000,0.000000,0.000000,0.000000,0.000000,0.002400,0.000000,0.001500,0.000000,0.000000,0.000000,0.000000,0.000000
1538673349.100000,0.001917,0.002333,0.000000,0.000000,0.000000,0.000000,0.000000,0.002000,0.001500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001917,0.002333,0.000000,0.000000,0.000000,0.000000,0.000000,0.002000,0.001500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538673349.150000,0.002818,0.002000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002897,0.002333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002818,0.002000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002897,0.002333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538673349.200000,0.002167,0.003000,0.000000,0.000000,0.000000,0.000000,0.001500,0.001000,0.000000,0.003000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002250,0.003000,0.000000,0.000000,0.000000,0.000000,0.001500,0.000000,0.000000,0.003000,0.000000,0.000000,0.000000,0.000000,0.000000
1538673349.250000,0.002773,0.008000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002750,0.002000,0.001500,0.000000,0.000000,0.000000,0.000000,0.000000,0.002708,0.005500,0.000000,0.000000,0.000000,0.000000,0.000000,0.002647,0.002000,0.001500,0.000000,0.000000,0.000000,0.000000,0.000000
1538673349.300000,0.002979,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002903,0.003125,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002933,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002900,0.003000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538673349.350000,0.002400,0.003250,0.000000,0.004000,0.000000,0.000000,0.001500,0.000000,0.001333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002727,0.003667,0.000000,0.004000,0.000000,0.000000,0.001500,0.003000,0.002250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538673349.400000,0.002625,0.003000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002800,0.000000,0.002000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002556,0.002500,0.000000,0.000000,0.000000,0.000000,0.000000,0.002800,0.000000,0.002000,0.000000,0.000000,0.000000,0.000000,0.000000
1538673349.450000,0.002765,0.000000,0.000000,0.000000,0.000000,0.000000,0.001500,0.003571,0.002375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002813,0.000000,0.000000,0.000000,0.000000,0.000000,0.001500,0.003571,0.002429,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538673349.500000,0.001968,0.002000,0.000000,0.000000,0.000000,0.000000,0.002000,0.002105,0.001500,0.003000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001933,0.002000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002105,0.001556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538673349.550000,0.049583,0.000000,0.000000,0.002000,0.000000,0.000000,0.003333,0.002455,0.001333,0.570500,0.000000,0.000000,0.000000,0.000000,0.000000,0.002250,0.000000,0.000000,0.002000,0.000000,0.000000,0.003000,0.002455,0.001200,0.002500,0.000000,0.000000,0.000000,0.000000,0.000000
1538673349.600000,0.002815,0.003167,0.000000,0.000000,0.004000,0.000000,0.000000,0.002167,0.002846,0.003000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002815,0.003167,0.000000,0.000000,0.004000,0.000000,0.000000,0.002200,0.002786,0.003000,0.000000,0.000000,0.000000,0.000000,0.000000
1538673349.650000,0.002333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002250,0.002500,0.002000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002500,0.002333,0.002000,0.000000,0.000000,0.000000,0.000000,0.000000
1538673349.700000,0.004389,0.003000,0.000000,0.000000,0.003000,0.000000,0.000000,0.004636,0.004400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004333,0.003000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004478,0.004273,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538673349.750000,0.001909,0.002200,0.000000,0.000000,0.000000,0.000000,0.000000,0.001857,0.001800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001957,0.002333,0.000000,0.000000,0.003000,0.000000,0.000000,0.001667,0.001800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538673349.800000,0.002083,0.003000,0.000000,0.002000,0.000000,0.000000,0.000000,0.002750,0.001538,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002083,0.003000,0.000000,0.002000,0.000000,0.000000,0.000000,0.002778,0.001417,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538673349.850000,0.002406,0.003000,0.000000,0.003000,0.000000,0.000000,0.002000,0.002462,0.002286,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002424,0.003000,0.000000,0.003000,0.000000,0.000000,0.002000,0.002462,0.002333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538673349.900000,0.002167,0.002600,0.000000,0.002000,0.000000,0.000000,0.000000,0.002091,0.002000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002174,0.002600,0.000000,0.002000,0.000000,0.000000,0.000000,0.002091,0.002000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1538673349.950000,0.002056,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002250,0.001750,0.001500,0.000000,0.000000,0.000000,0.000000,0.000000,0.001882,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002000,0.001800,0.001500,0.000000,0.000000,0.000000,0.000000,0.000000
1538673350.000000,0.003048,0.002500,0.000000,0.000000,0.000000,0.000000,0.000000,0.003625,0.002727,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003095,0.002500,0.000000,0.000000,0.000000,0.000000,0.000000,0.003667,0.002700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
