date_time,total_http_start,total_http_end,SELECT_http_start,SELECT_http_end,INSERT_http_start,INSERT_http_end,UPDATE_http_start,UPDATE_http_end,DELETE_http_start,DELETE_http_end
1538673349.000000,30,30,30,30,0,0,0,0,0,0
1538673349.050000,17,18,17,18,0,0,0,0,0,0
1538673349.100000,8,8,8,8,0,0,0,0,0,0
1538673349.150000,19,17,19,17,0,0,0,0,0,0
1538673349.200000,24,26,24,26,0,0,0,0,0,0
1538673349.250000,18,16,18,16,0,0,0,0,0,0
1538673349.300000,23,25,23,25,0,0,0,0,0,0
1538673349.350000,37,37,37,37,0,0,0,0,0,0
1538673349.400000,6,6,6,6,0,0,0,0,0,0
1538673349.450000,11,11,11,11,0,0,0,0,0,0
1538673349.500000,27,26,27,26,0,0,0,0,0,0
1538673349.550000,25,23,25,23,0,0,0,0,0,0
1538673349.600000,32,34,32,34,0,0,0,0,0,0
1538673349.650000,12,12,12,12,0,0,0,0,0,0
1538673349.700000,26,21,26,21,0,0,0,0,0,0
1538673349.750000,26,31,26,31,0,0,0,0,0,0
1538673349.800000,23,22,23,22,0,0,0,0,0,0
1538673349.850000,21,22,21,22,0,0,0,0,0,0
1538673349.900000,34,34,34,34,0,0,0,0,0,0
1538673349.950000,16,16,16,16,0,0,0,0,0,0
1538673350.000000,27,27,27,27,0,0,0,0,0,0
1538673350.050000,25,24,25,24,0,0,0,0,0,0
1538673350.100000,11,11,11,11,0,0,0,0,0,0
1538673350.150000,38,39,38,39,0,0,0,0,0,0
1538673350.200000,35,35,35,35,0,0,0,0,0,0
1538673350.250000,25,25,25,25,0,0,0,0,0,0
1538673350.300000,15,15,15,15,0,0,0,0,0,0
1538673350.350000,24,23,24,23,0,0,0,0,0,0
1538673350.400000,18,19,18,19,0,0,0,0,0,0
1538673350.450000,30,29,30,29,0,0,0,0,0,0
1538673350.500000,20,20,20,20,0,0,0,0,0,0
1538673350.550000,28,29,28,29,0,0,0,0,0,0
1538673350.600000,31,31,31,31,0,0,0,0,0,0
1538673350.650000,16,16,16,16,0,0,0,0,0,0
1538673350.700000,14,14,14,14,0,0,0,0,0,0
1538673350.750000,2,3,2,3,0,0,0,0,0,0
1538673350.800000,23,21,23,21,0,0,0,0,0,0
1538673350.850000,26,28,26,28,0,0,0,0,0,0
1538673350.900000,16,16,16,16,0,0,0,0,0,0
1538673350.950000,26,26,26,26,0,0,0,0,0,0
1538673351.000000,19,19,19,19,0,0,0,0,0,0
1538673351.050000,26,25,26,25,0,0,0,0,0,0
1538673351.100000,29,30,29,30,0,0,0,0,0,0
1538673351.150000,18,18,18,18,0,0,0,0,0,0
1538673351.200000,24,24,24,24,0,0,0,0,0,0
1538673351.250000,30,29,30,29,0,0,0,0,0,0
1538673351.300000,6,7,6,7,0,0,0,0,0,0
1538673351.350000,26,24,26,24,0,0,0,0,0,0
1538673351.400000,36,37,36,37,0,0,0,0,0,0
1538673351.450000,12,12,12,12,0,0,0,0,0,0
1538673351.500000,18,19,18,19,0,0,0,0,0,0
1538673351.550000,25,23,25,23,0,0,0,0,0,0
1538673351.600000,12,12,12,12,0,0,0,0,0,0
1538673351.650000,26,27,26,27,0,0,0,0,0,0
1538673351.700000,17,18,17,18,0,0,0,0,0,0
1538673351.750000,21,20,21,20,0,0,0,0,0,0
1538673351.800000,26,27,26,27,0,0,0,0,0,0
1538673351.850000,35,34,35,34,0,0,0,0,0,0
1538673351.900000,43,42,43,42,0,0,0,0,0,0
1538673351.950000,22,24,22,24,0,0,0,0,0,0
1538673352.000000,8,8,8,8,0,0,0,0,0,0
1538673352.050000,38,37,38,37,0,0,0,0,0,0
1538673352.100000,44,44,44,44,0,0,0,0,0,0
1538673352.150000,8,9,8,9,0,0,0,0,0,0
1538673352.200000,9,8,9,8,0,0,0,0,0,0
1538673352.250000,17,18,17,18,0,0,0,0,0,0
1538673352.300000,15,15,15,15,0,0,0,0,0,0
1538673352.350000,13,13,13,13,0,0,0,0,0,0
1538673352.400000,5,5,5,5,0,0,0,0,0,0
1538673352.450000,46,44,46,44,0,0,0,0,0,0
