date_time,total_http,SELECT_http,INSERT_http,UPDATE_http,DELETE_http,total_http_out_rs,SELECT_http_out_rs,INSERT_http_out_rs,UPDATE_http_out_rs,DELETE_http_out_rs
1538673349.000000,0.001533,0.001533,0.000000,0.000000,0.000000,0.001533,0.001533,0.000000,0.000000,0.000000
1538673349.050000,0.001000,0.001000,0.000000,0.000000,0.000000,0.001000,0.001000,0.000000,0.000000,0.000000
1538673349.100000,0.000875,0.000875,0.000000,0.000000,0.000000,0.000875,0.000875,0.000000,0.000000,0.000000
1538673349.150000,0.001158,0.001158,0.000000,0.000000,0.000000,0.001118,0.001118,0.000000,0.000000,0.000000
1538673349.200000,0.001833,0.001833,0.000000,0.000000,0.000000,0.001808,0.001808,0.000000,0.000000,0.000000
1538673349.250000,0.001778,0.001778,0.000000,0.000000,0.000000,0.001875,0.001875,0.000000,0.000000,0.000000
1538673349.300000,0.001522,0.001522,0.000000,0.000000,0.000000,0.001480,0.001480,0.000000,0.000000,0.000000
1538673349.350000,0.001595,0.001595,0.000000,0.000000,0.000000,0.001595,0.001595,0.000000,0.000000,0.000000
1538673349.400000,0.000833,0.000833,0.000000,0.000000,0.000000,0.000833,0.000833,0.000000,0.000000,0.000000
1538673349.450000,0.002545,0.002545,0.000000,0.000000,0.000000,0.002545,0.002545,0.000000,0.000000,0.000000
1538673349.500000,0.001037,0.001037,0.000000,0.000000,0.000000,0.001038,0.001038,0.000000,0.000000,0.000000
1538673349.550000,0.046520,0.046520,0.000000,0.000000,0.000000,0.001000,0.001000,0.000000,0.000000,0.000000
1538673349.600000,0.001375,0.001375,0.000000,0.000000,0.000000,0.001353,0.001353,0.000000,0.000000,0.000000
1538673349.650000,0.001250,0.001250,0.000000,0.000000,0.000000,0.001250,0.001250,0.000000,0.000000,0.000000
1538673349.700000,0.003154,0.003154,0.000000,0.000000,0.000000,0.002952,0.002952,0.000000,0.000000,0.000000
1538673349.750000,0.001808,0.001808,0.000000,0.000000,0.000000,0.002161,0.002161,0.000000,0.000000,0.000000
1538673349.800000,0.001087,0.001087,0.000000,0.000000,0.000000,0.001091,0.001091,0.000000,0.000000,0.000000
1538673349.850000,0.001095,0.001095,0.000000,0.000000,0.000000,0.001091,0.001091,0.000000,0.000000,0.000000
1538673349.900000,0.001029,0.001029,0.000000,0.000000,0.000000,0.001029,0.001029,0.000000,0.000000,0.000000
1538673349.950000,0.001062,0.001062,0.000000,0.000000,0.000000,0.001062,0.001062,0.000000,0.000000,0.000000
1538673350.000000,0.001630,0.001630,0.000000,0.000000,0.000000,0.001630,0.001630,0.000000,0.000000,0.000000
1538673350.050000,0.001840,0.001840,0.000000,0.000000,0.000000,0.001833,0.001833,0.000000,0.000000,0.000000
1538673350.100000,0.002273,0.002273,0.000000,0.000000,0.000000,0.002273,0.002273,0.000000,0.000000,0.000000
1538673350.150000,0.001895,0.001895,0.000000,0.000000,0.000000,0.001897,0.001897,0.000000,0.000000,0.000000
1538673350.200000,0.001343,0.001343,0.000000,0.000000,0.000000,0.001343,0.001343,0.000000,0.000000,0.000000
1538673350.250000,0.001480,0.001480,0.000000,0.000000,0.000000,0.001480,0.001480,0.000000,0.000000,0.000000
1538673350.300000,0.001000,0.001000,0.000000,0.000000,0.000000,0.001000,0.001000,0.000000,0.000000,0.000000
1538673350.350000,0.001333,0.001333,0.000000,0.000000,0.000000,0.001348,0.001348,0.000000,0.000000,0.000000
1538673350.400000,0.001000,0.001000,0.000000,0.000000,0.000000,0.001000,0.001000,0.000000,0.000000,0.000000
1538673350.450000,0.001600,0.001600,0.000000,0.000000,0.000000,0.001621,0.001621,0.000000,0.000000,0.000000
1538673350.500000,0.001450,0.001450,0.000000,0.000000,0.000000,0.001450,0.001450,0.000000,0.000000,0.000000
1538673350.550000,0.001179,0.001179,0.000000,0.000000,0.000000,0.001172,0.001172,0.000000,0.000000,0.000000
1538673350.600000,0.001677,0.001677,0.000000,0.000000,0.000000,0.001677,0.001677,0.000000,0.000000,0.000000
1538673350.650000,0.000937,0.000937,0.000000,0.000000,0.000000,0.000937,0.000937,0.000000,0.000000,0.000000
1538673350.700000,0.001071,0.001071,0.000000,0.000000,0.000000,0.082357,0.082357,0.000000,0.000000,0.000000
1538673350.750000,0.001000,0.001000,0.000000,0.000000,0.000000,0.001000,0.001000,0.000000,0.000000,0.000000
1538673350.800000,0.001304,0.001304,0.000000,0.000000,0.000000,0.001190,0.001190,0.000000,0.000000,0.000000
1538673350.850000,0.001385,0.001385,0.000000,0.000000,0.000000,0.001464,0.001464,0.000000,0.000000,0.000000
1538673350.900000,0.001187,0.001187,0.000000,0.000000,0.000000,0.001187,0.001187,0.000000,0.000000,0.000000
1538673350.950000,0.002000,0.002000,0.000000,0.000000,0.000000,0.002000,0.002000,0.000000,0.000000,0.000000
1538673351.000000,0.001158,0.001158,0.000000,0.000000,0.000000,0.001158,0.001158,0.000000,0.000000,0.000000
